"Family","Temperature","n","mean","sd","se","median"
"Family 1","ambient",8,30.1597122597462,23.3685597177978,8.26203352150882,23.1887766061694
"Family 1","36C",8,21.1337377829428,14.4909355767533,5.12331940602982,22.5817742973197
"Family 9","ambient",8,16.5365305157296,12.6643370817641,4.47751931487382,14.1154894327966
"Family 9","36C",8,22.038399119357,13.6317871552763,4.81956456859377,21.1609120377934
