imageJ_ID,Area,sample_ID.group
1,223.427,97
2,143.907,98
3,139.16,100
4,120.75,99
5,165.182,103
6,141.079,104
7,213.387,101
8,124.184,102
9,168.036,105
10,201.238,106
11,112.797,107
