imageJ_ID,Area,sample_ID.group
1,110.367,25
2,153.262,27
3,143.786,26
4,151.019,28
5,219.159,30
6,250.827,31
7,131.734,32
8,190.996,29
9,246.622,33
10,151.979,34
11,161.345,35
