imageJ_ID,Area,sample_ID.group
1,204.594,23
2,214.292,25
3,189.996,24
4,96.482,26
5,145.157,28
6,172.426,29
7,139.38,27
9,174.774,31
10,224.359,30
11,94.482,32
12,90.215,33
