imageJ_ID,Area,sample_ID.group
1,153.237,90
2,117.225,92
3,119.666,94
4,112.845,89
5,191.208,93
6,228.643,94
7,191.036,96
8,177.56,95
9,181.107,97
10,118.857,98
11,135.348,99
