contrast,estimate,SE,df,t.ratio,p.value,comparison,metric
C - R,-0.13943557896547273,0.3462101128125424,66,-0.4027484287871481,0.9985751200465842,all plates,metabolism_per_area_mm2_measurement
C - S,0.8207304646291701,0.3462101128125424,66,2.370613781214299,0.1817498314578635,all plates,metabolism_per_area_mm2_measurement
C - T,1.0468589817426885,0.3462101128125423,66,3.023767772807714,0.039748046656247316,all plates,metabolism_per_area_mm2_measurement
C - U,1.0590793628370392,0.34621011281254244,66,3.059065358412809,0.03621177891303462,all plates,metabolism_per_area_mm2_measurement
C - V,0.22461387314213882,0.3462101128125423,66,0.6487790645900555,0.9867030413745492,all plates,metabolism_per_area_mm2_measurement
R - S,0.9601660435946429,0.3462101128125423,66,2.7733622100014474,0.0746542160935082,all plates,metabolism_per_area_mm2_measurement
R - T,1.1862945607081612,0.3462101128125423,66,3.426516201594862,0.012954799119557547,all plates,metabolism_per_area_mm2_measurement
R - U,1.1985149418025118,0.3462101128125424,66,3.4618137871999575,0.011675547821044963,all plates,metabolism_per_area_mm2_measurement
R - V,0.3640494521076115,0.3462101128125423,66,1.0515274933772036,0.898403273600891,all plates,metabolism_per_area_mm2_measurement
S - T,0.22612851711351845,0.3462101128125423,66,0.6531539915934148,0.9862935407760314,all plates,metabolism_per_area_mm2_measurement
S - U,0.2383488982078691,0.3462101128125423,66,0.6884515771985107,0.9826447489886627,all plates,metabolism_per_area_mm2_measurement
S - V,-0.5961165914870312,0.3462101128125423,66,-1.7218347166242436,0.5226421885115706,all plates,metabolism_per_area_mm2_measurement
T - U,0.01222038109435064,0.34621011281254244,66,0.035297585605095945,0.9999999918942484,all plates,metabolism_per_area_mm2_measurement
T - V,-0.8222451086005498,0.3462101128125423,66,-2.374988708217659,0.18016248534271384,all plates,metabolism_per_area_mm2_measurement
U - V,-0.8344654896949004,0.3462101128125424,66,-2.4102862938227543,0.16772649601860012,all plates,metabolism_per_area_mm2_measurement
R - T,1.1862945607081616,0.40198513143317816,22,2.9510906447676883,0.0073842024383653435,within heat_mech_no-water,metabolism_per_area_mm2_measurement
S - U,0.23834889820786928,0.30682454502480627,22,0.7768247425856988,0.4455349084388548,within heat_mech_with_water,metabolism_per_area_mm2_measurement
C - V,0.22461387314213885,0.32225918034710976,22,0.6969975933663214,0.49310435790224316,within heat_stress_only,metabolism_per_area_mm2_measurement
