contrast,estimate,SE,df,t.ratio,p.value,comparison,metric
c - r,-0.13943557896547273,0.3462101128125424,66,-0.4027484287871481,0.9985751200465842,family:treatment,metabolism_per_area_mm2_measurement
c - s,0.8207304646291701,0.3462101128125424,66,2.370613781214299,0.1817498314578635,family:treatment,metabolism_per_area_mm2_measurement
c - t,1.0468589817426885,0.3462101128125423,66,3.023767772807714,0.039748046656247316,family:treatment,metabolism_per_area_mm2_measurement
c - u,1.0590793628370392,0.34621011281254244,66,3.059065358412809,0.03621177891303462,family:treatment,metabolism_per_area_mm2_measurement
c - v,0.22461387314213882,0.3462101128125423,66,0.6487790645900555,0.9867030413745492,family:treatment,metabolism_per_area_mm2_measurement
r - s,0.9601660435946429,0.3462101128125423,66,2.7733622100014474,0.0746542160935082,family:treatment,metabolism_per_area_mm2_measurement
r - t,1.1862945607081612,0.3462101128125423,66,3.426516201594862,0.012954799119557547,family:treatment,metabolism_per_area_mm2_measurement
r - u,1.1985149418025118,0.3462101128125424,66,3.4618137871999575,0.011675547821044963,family:treatment,metabolism_per_area_mm2_measurement
r - v,0.3640494521076115,0.3462101128125423,66,1.0515274933772036,0.898403273600891,family:treatment,metabolism_per_area_mm2_measurement
s - t,0.22612851711351845,0.3462101128125423,66,0.6531539915934148,0.9862935407760314,family:treatment,metabolism_per_area_mm2_measurement
s - u,0.2383488982078691,0.3462101128125423,66,0.6884515771985107,0.9826447489886627,family:treatment,metabolism_per_area_mm2_measurement
s - v,-0.5961165914870312,0.3462101128125423,66,-1.7218347166242436,0.5226421885115706,family:treatment,metabolism_per_area_mm2_measurement
t - u,0.01222038109435064,0.34621011281254244,66,0.035297585605095945,0.9999999918942484,family:treatment,metabolism_per_area_mm2_measurement
t - v,-0.8222451086005498,0.3462101128125423,66,-2.374988708217659,0.18016248534271384,family:treatment,metabolism_per_area_mm2_measurement
u - v,-0.8344654896949004,0.3462101128125424,66,-2.4102862938227543,0.16772649601860012,family:treatment,metabolism_per_area_mm2_measurement
c - r,-0.13943557896547273,0.3462101128125424,66,-0.4027484287871481,0.9985751200465842,treatment,metabolism_per_area_mm2_measurement
c - s,0.8207304646291701,0.3462101128125424,66,2.370613781214299,0.1817498314578635,treatment,metabolism_per_area_mm2_measurement
c - t,1.0468589817426885,0.3462101128125423,66,3.023767772807714,0.039748046656247316,treatment,metabolism_per_area_mm2_measurement
c - u,1.0590793628370392,0.34621011281254244,66,3.059065358412809,0.03621177891303462,treatment,metabolism_per_area_mm2_measurement
c - v,0.22461387314213882,0.3462101128125423,66,0.6487790645900555,0.9867030413745492,treatment,metabolism_per_area_mm2_measurement
r - s,0.9601660435946429,0.3462101128125423,66,2.7733622100014474,0.0746542160935082,treatment,metabolism_per_area_mm2_measurement
r - t,1.1862945607081612,0.3462101128125423,66,3.426516201594862,0.012954799119557547,treatment,metabolism_per_area_mm2_measurement
r - u,1.1985149418025118,0.3462101128125424,66,3.4618137871999575,0.011675547821044963,treatment,metabolism_per_area_mm2_measurement
r - v,0.3640494521076115,0.3462101128125423,66,1.0515274933772036,0.898403273600891,treatment,metabolism_per_area_mm2_measurement
s - t,0.22612851711351845,0.3462101128125423,66,0.6531539915934148,0.9862935407760314,treatment,metabolism_per_area_mm2_measurement
s - u,0.2383488982078691,0.3462101128125423,66,0.6884515771985107,0.9826447489886627,treatment,metabolism_per_area_mm2_measurement
s - v,-0.5961165914870312,0.3462101128125423,66,-1.7218347166242436,0.5226421885115706,treatment,metabolism_per_area_mm2_measurement
t - u,0.01222038109435064,0.34621011281254244,66,0.035297585605095945,0.9999999918942484,treatment,metabolism_per_area_mm2_measurement
t - v,-0.8222451086005498,0.3462101128125423,66,-2.374988708217659,0.18016248534271384,treatment,metabolism_per_area_mm2_measurement
u - v,-0.8344654896949004,0.3462101128125424,66,-2.4102862938227543,0.16772649601860012,treatment,metabolism_per_area_mm2_measurement
