value_metric,feature,n,n_family,f_statistic,p_value,kruskal_p_value,eta_sq,omega_sq,max_abs_pairwise_d,p_adj_bh,rank_within_metric,rank_score
metabolism_per_area_mm2_measurement,min_slope,162,9,1.9181461717659192,0.06099050523859478,0.05920488691862471,0.09115301277237435,0.04337395274559011,0.9134397762871452,0.7154564435600481,1,2
metabolism_per_area_mm2_measurement,time_to_vmax,162,9,1.604337631887453,0.12777891325923305,0.21752928262876345,0.07739454392500887,0.028978989529899368,0.9982399517011592,0.7154564435600481,1,3
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,162,9,1.5969963484246543,0.1299282355362241,0.051155739678515735,0.07706768795691166,0.028637043842997912,0.9323423835849249,0.7154564435600481,1,4
metabolism_per_area_mm2_measurement,depression_abs,162,9,1.3058859092923756,0.24447471660086073,0.28402335382578825,0.06391724348567931,0.014880696976144364,0.8180693454095889,0.7154564435600481,1,5
metabolism_per_area_mm2_measurement,initial_slope,162,9,1.2933811998654985,0.25083797456455326,0.40404670477634275,0.06334396381403724,0.014281057096259276,0.8453114187021787,0.7154564435600481,1,6
metabolism_per_area_mm2_measurement,time_to_peak,162,9,1.2234848484848626,0.2888345900825949,0.2881794073103947,0.060126582278481666,0.010915818686402163,0.7177405625652742,0.7154564435600481,1,7
metabolism_per_area_mm2_measurement,vmax,162,9,1.1933704129045795,0.3064969282294901,0.2939129413926768,0.05873356911273984,0.009458832325540468,0.7331261753766265,0.7154564435600481,1,8
metabolism_per_area_mm2_measurement,auc_early,162,9,1.1825670026398953,0.3130248753319526,0.41894055080170717,0.05823282535451768,0.008935098689083343,0.8606492041358071,0.7154564435600481,1,9
metabolism_per_area_mm2_measurement,resilience_ratio,162,9,1.144613168324733,0.336762492593376,0.2883076138265519,0.056469413541320894,0.007090753187186433,0.7701534627300319,0.7154564435600481,1,10
metabolism_per_area_mm2_measurement,stability_cv,162,9,1.1386291558771016,0.34061921891924696,0.4523786829140736,0.05619078138068189,0.006799336768413451,0.8804776907479168,0.7154564435600481,1,11
metabolism_per_area_mm2_measurement,metabolic_depression_index,162,9,1.1313821560015724,0.3453314474963989,0.2883076138265519,0.05585312062580562,0.00644618480709294,0.7658589675731347,0.7154564435600481,1,12
