contrast,estimate,SE,df,t.ratio,p.value,comparison,metric
10-1,3.180403029945005e-4,NA,NA,NA,0.999760306981938,family:treatment,metabolism_per_area_mm2_measurement
2-1,9.8016607528014e-4,NA,NA,NA,0.7338861187639806,family:treatment,metabolism_per_area_mm2_measurement
3-1,0.001428704751720113,NA,NA,NA,0.23747183259460158,family:treatment,metabolism_per_area_mm2_measurement
5-1,9.002886011188894e-4,NA,NA,NA,0.8147146685711155,family:treatment,metabolism_per_area_mm2_measurement
6-1,7.958819935684246e-4,NA,NA,NA,0.8978481131507712,family:treatment,metabolism_per_area_mm2_measurement
7-1,9.069627122333052e-4,NA,NA,NA,0.8084784120168378,family:treatment,metabolism_per_area_mm2_measurement
8-1,6.057207172033832e-4,NA,NA,NA,0.9785937170767769,family:treatment,metabolism_per_area_mm2_measurement
9-1,7.145020109094189e-4,NA,NA,NA,0.942886709723229,family:treatment,metabolism_per_area_mm2_measurement
2-10,6.621257722856395e-4,NA,NA,NA,0.9632120594390513,family:treatment,metabolism_per_area_mm2_measurement
3-10,0.0011106644487256126,NA,NA,NA,0.5817124950440382,family:treatment,metabolism_per_area_mm2_measurement
5-10,5.822482981243889e-4,NA,NA,NA,0.9833079382626857,family:treatment,metabolism_per_area_mm2_measurement
6-10,4.778416905739241e-4,NA,NA,NA,0.9954902163863425,family:treatment,metabolism_per_area_mm2_measurement
7-10,5.889224092388047e-4,NA,NA,NA,0.9820576195701753,family:treatment,metabolism_per_area_mm2_measurement
8-10,2.876804142088827e-4,NA,NA,NA,0.999887364316316,family:treatment,metabolism_per_area_mm2_measurement
9-10,3.964617079149184e-4,NA,NA,NA,0.9987887711139207,family:treatment,metabolism_per_area_mm2_measurement
3-2,4.485386764399731e-4,NA,NA,NA,0.9970907650638438,family:treatment,metabolism_per_area_mm2_measurement
5-2,-7.987747416125053e-5,NA,NA,NA,0.9999999951433867,family:treatment,metabolism_per_area_mm2_measurement
6-2,-1.8428408171171536e-4,NA,NA,NA,0.9999963742064746,family:treatment,metabolism_per_area_mm2_measurement
7-2,-7.320336304683477e-5,NA,NA,NA,0.9999999975770024,family:treatment,metabolism_per_area_mm2_measurement
8-2,-3.744453580767568e-4,NA,NA,NA,0.9991993021017105,family:treatment,metabolism_per_area_mm2_measurement
9-2,-2.656640643707211e-4,NA,NA,NA,0.9999385175001856,family:treatment,metabolism_per_area_mm2_measurement
5-3,-5.284161506012236e-4,NA,NA,NA,0.9911095436368067,family:treatment,metabolism_per_area_mm2_measurement
6-3,-6.328227581516885e-4,NA,NA,NA,0.9719691791474736,family:treatment,metabolism_per_area_mm2_measurement
7-3,-5.217420394868079e-4,NA,NA,NA,0.991829209208877,family:treatment,metabolism_per_area_mm2_measurement
8-3,-8.229840345167299e-4,NA,NA,NA,0.8789821611786567,family:treatment,metabolism_per_area_mm2_measurement
9-3,-7.142027408106942e-4,NA,NA,NA,0.9430211787408451,family:treatment,metabolism_per_area_mm2_measurement
6-5,-1.0440660755046483e-4,NA,NA,NA,0.9999999591120246,family:treatment,metabolism_per_area_mm2_measurement
7-5,6.6741111144157615e-6,NA,NA,NA,1,family:treatment,metabolism_per_area_mm2_measurement
8-5,-2.9456788391550625e-4,NA,NA,NA,0.9998652969005036,family:treatment,metabolism_per_area_mm2_measurement
9-5,-1.8578659020947056e-4,NA,NA,NA,0.9999961364746699,family:treatment,metabolism_per_area_mm2_measurement
7-6,1.1108071866488059e-4,NA,NA,NA,0.9999999331289147,family:treatment,metabolism_per_area_mm2_measurement
8-6,-1.9016127636504142e-4,NA,NA,NA,0.9999953657681349,family:treatment,metabolism_per_area_mm2_measurement
9-6,-8.137998265900573e-5,NA,NA,NA,0.9999999943661838,family:treatment,metabolism_per_area_mm2_measurement
8-7,-3.01241995029922e-4,NA,NA,NA,0.999840499682535,family:treatment,metabolism_per_area_mm2_measurement
9-7,-1.9246070132388632e-4,NA,NA,NA,0.9999949097542615,family:treatment,metabolism_per_area_mm2_measurement
9-8,1.0878129370603569e-4,NA,NA,NA,0.9999999433578023,family:treatment,metabolism_per_area_mm2_measurement
10-1,3.180403029945005e-4,NA,NA,NA,0.999760306981938,family,metabolism_per_area_mm2_measurement
2-1,9.8016607528014e-4,NA,NA,NA,0.7338861187639806,family,metabolism_per_area_mm2_measurement
3-1,0.001428704751720113,NA,NA,NA,0.23747183259460158,family,metabolism_per_area_mm2_measurement
5-1,9.002886011188894e-4,NA,NA,NA,0.8147146685711155,family,metabolism_per_area_mm2_measurement
6-1,7.958819935684246e-4,NA,NA,NA,0.8978481131507712,family,metabolism_per_area_mm2_measurement
7-1,9.069627122333052e-4,NA,NA,NA,0.8084784120168378,family,metabolism_per_area_mm2_measurement
8-1,6.057207172033832e-4,NA,NA,NA,0.9785937170767769,family,metabolism_per_area_mm2_measurement
9-1,7.145020109094189e-4,NA,NA,NA,0.942886709723229,family,metabolism_per_area_mm2_measurement
2-10,6.621257722856395e-4,NA,NA,NA,0.9632120594390513,family,metabolism_per_area_mm2_measurement
3-10,0.0011106644487256126,NA,NA,NA,0.5817124950440382,family,metabolism_per_area_mm2_measurement
5-10,5.822482981243889e-4,NA,NA,NA,0.9833079382626857,family,metabolism_per_area_mm2_measurement
6-10,4.778416905739241e-4,NA,NA,NA,0.9954902163863425,family,metabolism_per_area_mm2_measurement
7-10,5.889224092388047e-4,NA,NA,NA,0.9820576195701753,family,metabolism_per_area_mm2_measurement
8-10,2.876804142088827e-4,NA,NA,NA,0.999887364316316,family,metabolism_per_area_mm2_measurement
9-10,3.964617079149184e-4,NA,NA,NA,0.9987887711139207,family,metabolism_per_area_mm2_measurement
3-2,4.485386764399731e-4,NA,NA,NA,0.9970907650638438,family,metabolism_per_area_mm2_measurement
5-2,-7.987747416125053e-5,NA,NA,NA,0.9999999951433867,family,metabolism_per_area_mm2_measurement
6-2,-1.8428408171171536e-4,NA,NA,NA,0.9999963742064746,family,metabolism_per_area_mm2_measurement
7-2,-7.320336304683477e-5,NA,NA,NA,0.9999999975770024,family,metabolism_per_area_mm2_measurement
8-2,-3.744453580767568e-4,NA,NA,NA,0.9991993021017105,family,metabolism_per_area_mm2_measurement
9-2,-2.656640643707211e-4,NA,NA,NA,0.9999385175001856,family,metabolism_per_area_mm2_measurement
5-3,-5.284161506012236e-4,NA,NA,NA,0.9911095436368067,family,metabolism_per_area_mm2_measurement
6-3,-6.328227581516885e-4,NA,NA,NA,0.9719691791474736,family,metabolism_per_area_mm2_measurement
7-3,-5.217420394868079e-4,NA,NA,NA,0.991829209208877,family,metabolism_per_area_mm2_measurement
8-3,-8.229840345167299e-4,NA,NA,NA,0.8789821611786567,family,metabolism_per_area_mm2_measurement
9-3,-7.142027408106942e-4,NA,NA,NA,0.9430211787408451,family,metabolism_per_area_mm2_measurement
6-5,-1.0440660755046483e-4,NA,NA,NA,0.9999999591120246,family,metabolism_per_area_mm2_measurement
7-5,6.6741111144157615e-6,NA,NA,NA,1,family,metabolism_per_area_mm2_measurement
8-5,-2.9456788391550625e-4,NA,NA,NA,0.9998652969005036,family,metabolism_per_area_mm2_measurement
9-5,-1.8578659020947056e-4,NA,NA,NA,0.9999961364746699,family,metabolism_per_area_mm2_measurement
7-6,1.1108071866488059e-4,NA,NA,NA,0.9999999331289147,family,metabolism_per_area_mm2_measurement
8-6,-1.9016127636504142e-4,NA,NA,NA,0.9999953657681349,family,metabolism_per_area_mm2_measurement
9-6,-8.137998265900573e-5,NA,NA,NA,0.9999999943661838,family,metabolism_per_area_mm2_measurement
8-7,-3.01241995029922e-4,NA,NA,NA,0.999840499682535,family,metabolism_per_area_mm2_measurement
9-7,-1.9246070132388632e-4,NA,NA,NA,0.9999949097542615,family,metabolism_per_area_mm2_measurement
9-8,1.0878129370603569e-4,NA,NA,NA,0.9999999433578023,family,metabolism_per_area_mm2_measurement
