value_metric,feature,contrast,estimate,SE,df,t.ratio,p.value
corrected_fc,delta_auc_late_minus_early,10-1,0.10237076086651005,NA,NA,NA,0.9971020280015366
corrected_fc,delta_auc_late_minus_early,2-1,-0.130444765553126,NA,NA,NA,0.9852246751848028
corrected_fc,delta_auc_late_minus_early,3-1,-0.20584404148667415,NA,NA,NA,0.813676154674899
corrected_fc,delta_auc_late_minus_early,5-1,-0.134901062406525,NA,NA,NA,0.9817044934058063
corrected_fc,delta_auc_late_minus_early,6-1,0.08713803833591323,NA,NA,NA,0.9990814186761191
corrected_fc,delta_auc_late_minus_early,7-1,-0.0026733153393481554,NA,NA,NA,1
corrected_fc,delta_auc_late_minus_early,8-1,0.04590299530518088,NA,NA,NA,0.999992855433677
corrected_fc,delta_auc_late_minus_early,9-1,0.08139085374426015,NA,NA,NA,0.9994419978716831
corrected_fc,delta_auc_late_minus_early,2-10,-0.23281552641963604,NA,NA,NA,0.6898774147880118
corrected_fc,delta_auc_late_minus_early,3-10,-0.3082148023531842,NA,NA,NA,0.30961996651039836
corrected_fc,delta_auc_late_minus_early,5-10,-0.23727182327303503,NA,NA,NA,0.6672963569960464
corrected_fc,delta_auc_late_minus_early,6-10,-0.01523272253059682,NA,NA,NA,0.9999999988454316
corrected_fc,delta_auc_late_minus_early,7-10,-0.1050440762058582,NA,NA,NA,0.9965319814542632
corrected_fc,delta_auc_late_minus_early,8-10,-0.05646776556132917,NA,NA,NA,0.999964503253636
corrected_fc,delta_auc_late_minus_early,9-10,-0.020979907122249897,NA,NA,NA,0.9999999852063408
corrected_fc,delta_auc_late_minus_early,3-2,-0.07539927593354814,NA,NA,NA,0.9996830323221504
corrected_fc,delta_auc_late_minus_early,5-2,-0.004456296853398989,NA,NA,NA,1
corrected_fc,delta_auc_late_minus_early,6-2,0.21758280388903922,NA,NA,NA,0.7629969885306818
corrected_fc,delta_auc_late_minus_early,7-2,0.12777145021377784,NA,NA,NA,0.9870696561316662
corrected_fc,delta_auc_late_minus_early,8-2,0.1763477608583069,NA,NA,NA,0.9127110994302253
corrected_fc,delta_auc_late_minus_early,9-2,0.21183561929738615,NA,NA,NA,0.788514719875274
