trace_id,family_id_group,treatment_group,round_group,cup_id_group,sample_id_group,value_metric,baseline_value,final_value,peak_value,trough_value,time_to_peak,time_to_trough,auc_total,auc_early,auc_late,delta_auc_late_minus_early,late_early_auc_ratio,initial_slope,vmax,time_to_vmax,min_slope,time_to_min_slope,inflection_time,metabolic_scope,final_delta,depression_abs,metabolic_depression_index,resilience_ratio,stability_cv,trajectory_class,n_timepoints
1_01,1,NA,1,1,1_01,corrected_fc,0.020578101071975552,2.0201751027645685,2.0201751027645685,0.020578101071975552,3,0,3.321565630106172,1.5815152614237808,1.740050368682391,0.1585351072586101,1.1002425402559104,0.8206852925157108,0.8206852925157108,0.5,0.5602494681643551,2.5,1.5,1.9995970016925928,1.9995970016925928,0,0,1,0.7902561240207404,monotonic_increase,4
1_02,2,NA,1,2,1_02,corrected_fc,0.020578101071975552,1.8279554231307011,1.8279554231307011,0.020578101071975552,3,0,2.876069478660364,1.2831829682402291,1.5928865104201346,0.3097035421799055,1.2413557145358907,0.5734070177774818,0.7638324788601105,1.5,0.47013782542113325,2.5,2.5,1.8073773220587257,1.8073773220587257,0,0,1,0.8437158841703447,monotonic_increase,4
1_03,3,NA,1,3,1_03,corrected_fc,0.020578101071975552,2.155312612649464,2.155312612649464,0.020578101071975552,3,0,3.740517471692228,1.6637629203342987,2.0767545513579293,0.41299163102363057,1.2482274523467853,0.6337975236931385,1.3438208653012802,1.5,0.15711612258306973,2.5,2.5,2.1347345115774883,2.1347345115774883,0,0,1,0.8606917124060487,monotonic_increase,4
1_04,5,NA,1,4,1_04,corrected_fc,0.020578101071975552,5.549394703490521,5.549394703490521,0.020578101071975552,3,0,12.285589718540425,7.014367376036332,5.2712223425040925,-1.7431450335322394,0.7514893446431867,4.486975233669536,4.486975233669536,0.5,0.485496646776153,1.5,1.5,5.528816602418546,5.528816602418546,0,0,1,0.6725820452060369,monotonic_increase,4
1_05,7,NA,1,5,1_05,corrected_fc,0.020578101071975552,2.430009635811217,2.430009635811217,0.020578101071975552,3,0,4.797646434409842,2.558744787685746,2.2389016467240963,-0.31984314096164956,0.8749999833899295,1.5039808072592953,1.5039808072592953,0.5,0.3822159781742416,2.5,1.5,2.4094315347392414,2.4094315347392414,0,0,1,0.7022349969193354,monotonic_increase,4
1_06,6,NA,1,6,1_06,corrected_fc,0.020578101071975552,5.287252370401746,5.287252370401746,0.020578101071975552,3,0,11.254885389853703,6.4380742725880555,4.816811117265647,-1.6212631553224082,0.7481757608442947,4.234022188915318,4.234022188915318,0.5,0.09176957414225662,1.5,1.5,5.266674269329771,5.266674269329771,0,0,1,0.6761743212973754,monotonic_increase,4
1_07,8,NA,1,7,1_07,corrected_fc,0.020578101071975552,1.6688114249391555,1.6688114249391555,0.020578101071975552,3,0,2.8294640985081516,1.3952883107163048,1.434175787791847,0.0388874770755423,1.0278705675213307,0.7646510837860719,0.7646510837860719,0.5,0.4143109657864914,1.5,1.5,1.64823332386718,1.64823332386718,0,0,1,0.7610353160721675,monotonic_increase,4
1_08,9,NA,1,8,1_08,corrected_fc,0.020578101071975552,2.6429978124905826,2.6429978124905826,0.020578101071975552,3,0,4.205462027466462,1.9813435033572862,2.2241185241091754,0.24277502075188928,1.1225305053568548,1.047856733885439,1.047856733885439,0.5,0.7368044007703538,1.5,1.5,2.622419711418607,2.622419711418607,0,0,1,0.8045186811611,monotonic_increase,4
1_09,10,NA,1,9,1_09,corrected_fc,0.020578101071975552,1.872658423743071,1.872658423743071,0.020578101071975552,3,0,2.914572234324785,1.3922996247007313,1.5222726096240535,0.1299729849233222,1.0933513035681952,0.7754890753402498,0.7754890753402498,0.5,0.3758196190928109,1.5,1.5,1.8520803226710956,1.8520803226710956,0,0,1,0.7995664876801694,monotonic_increase,4
1_11,1,NA,1,11,1_11,corrected_fc,0.020578101071975552,1.0810193274201672,1.0810193274201672,0.020578101071975552,3,0,2.001726029579535,1.0131581652055048,0.98856786437403,-0.024590300831474843,0.975729060204053,0.534232812933595,0.534232812933595,0.5,0.18490292609227432,2.5,1.5,1.0604412263481917,1.0604412263481917,0,0,1,0.7300064339856588,monotonic_increase,4
1_12,2,NA,1,12,1_12,corrected_fc,0.020578101071975552,0.9562912552146592,0.9562912552146592,0.020578101071975552,3,0,1.2728310978507684,0.5091949622432277,0.7636361356075408,0.25444117336431316,1.4996930296470097,0.19283730263505305,0.3853102392142367,2.5,0.19283730263505305,0.5,1.5,0.9357131541426836,0.9357131541426836,0,0,1,0.937283878129728,monotonic_increase,4
1_13,3,NA,1,13,1_13,corrected_fc,0.020578101071975552,2.154847532631506,2.154847532631506,0.020578101071975552,3,0,4.04676191022236,2.1193343370002933,1.9274275732220667,-0.19190676377822657,0.9094495094861477,1.2384633784860166,1.2384633784860166,0.5,0.44096613425463516,1.5,1.5,2.1342694315595305,2.1342694315595305,0,0,1,0.7151830555613409,monotonic_increase,4
