"Sample","Family","Individual","Temperature","Protein conc (ug/mL)","Total protein (mg)","Reps used","CV all reps (%)","CV used reps (%)","Rate (mA412/min)","BG rate (mA412/min)","Corrected rate (mA412/min)","Activity (mU/uL)","Activity (mU/mg protein)","CV flag","Elevated baseline reps","Interpretation"
"F05_01_36C","F05","01","36C",953.1,0.334,"3/3",3.3,3.3,2.33,0.167,2.17,0.0352,36.96,"pass","0/3","usable"
"F05_02_36C","F05","02","36C",545.8,0.191,"3/3",2.4,2.4,2.37,0.15,2.22,0.036,66.031,"pass","0/3","usable"
"F05_03_36C","F05","03","36C",667.6,0.234,"3/3",3.5,3.5,2.45,0.15,2.3,0.0374,56.014,"pass","0/3","usable"
"F05_04_36C","F05","04","36C",1062.2,0.372,"3/3",2.3,2.3,2.47,0.183,2.28,0.0371,34.95,"pass","0/3","usable"
"F05_05_36C","F05","05","36C",1666.8,0.583,"3/3",1.2,1.2,2.33,0.183,2.15,0.035,20.972,"pass","0/3","usable"
"F05_06_36C","F05","06","36C",1265.9,0.443,"3/3",2.4,2.4,2.37,0.233,2.13,0.0347,27.399,"pass","0/3","usable"
"F05_07_36C","F05","07","36C",1110.5,0.389,"3/3",1.2,1.2,2.37,0.167,2.2,0.0358,32.21,"pass","0/3","usable"
"F05_08_36C","F05","08","36C",1357.5,0.475,"3/3",7.8,7.8,2.43,0.183,2.25,0.0366,26.948,"pass","0/3","usable"
