row_id,col_id,well_id,value,plate_id,time_hr,is_blank,exclude_from_analysis,family_id_group,sample_id_group,treatment_group,weight_g_measurement,width_mm_measurement,length_mm_measurement,area_mm2_measurement,sample_key,value_t0,fold_change,trace_id,mean_blank_rfu,mean_blank_fc,corrected_fc,metabolism_per_area_mm2_measurement
A,1,A1,122,a,0,FALSE,FALSE,6,1,NA,NA,NA,NA,193.749,1,122,1,1,102,1.0132450331125826,-0.013245033112582627,-6.836181406140226e-5
A,2,A2,118,a,0,FALSE,FALSE,6,2,NA,NA,NA,NA,169.793,2,118,1,2,102,1.0132450331125826,-0.013245033112582627,-7.800694441221149e-5
A,3,A3,118,a,0,FALSE,FALSE,6,3,NA,NA,NA,NA,141.088,3,118,1,3,102,1.0132450331125826,-0.013245033112582627,-9.387781464463759e-5
A,4,A4,124,a,0,FALSE,FALSE,6,4,NA,NA,NA,NA,134.507,4,124,1,4,102,1.0132450331125826,-0.013245033112582627,-9.847095773887327e-5
B,1,B1,111,a,0,FALSE,FALSE,6,5,NA,NA,NA,NA,106.908,5,111,1,5,102,1.0132450331125826,-0.013245033112582627,-1.2389188005184482e-4
B,2,B2,114,a,0,FALSE,FALSE,6,6,NA,NA,NA,NA,140.679,6,114,1,6,102,1.0132450331125826,-0.013245033112582627,-9.415074824659421e-5
B,3,B3,112,a,0,FALSE,FALSE,6,7,NA,NA,NA,NA,148.805,7,112,1,7,102,1.0132450331125826,-0.013245033112582627,-8.900932840013861e-5
B,4,B4,121,a,0,FALSE,FALSE,6,8,NA,NA,NA,NA,128.888,8,121,1,8,102,1.0132450331125826,-0.013245033112582627,-1.0276389665898009e-4
C,1,C1,120,a,0,FALSE,FALSE,6,9,NA,NA,NA,NA,125.014,9,120,1,9,102,1.0132450331125826,-0.013245033112582627,-1.0594839868000886e-4
C,2,C2,121,a,0,FALSE,FALSE,6,10,NA,NA,NA,NA,200.916,10,121,1,10,102,1.0132450331125826,-0.013245033112582627,-6.592323713682648e-5
C,3,C3,118,a,0,FALSE,FALSE,6,11,NA,NA,NA,NA,107.265,11,118,1,11,102,1.0132450331125826,-0.013245033112582627,-1.2347954237246656e-4
A,1,A1,205,a,2,FALSE,FALSE,6,1,NA,NA,NA,NA,193.749,1,122,1.680327868852459,1,106,1.0529801324503312,0.6273477364021278,0.0032379405127362093
A,2,A2,198,a,2,FALSE,FALSE,6,2,NA,NA,NA,NA,169.793,2,118,1.6779661016949152,2,106,1.0529801324503312,0.624985969244584,0.0036808700549762594
A,3,A3,186,a,2,FALSE,FALSE,6,3,NA,NA,NA,NA,141.088,3,118,1.576271186440678,3,106,1.0529801324503312,0.5232910539903468,0.003708969253163606
A,4,A4,314,a,2,FALSE,FALSE,6,4,NA,NA,NA,NA,134.507,4,124,2.532258064516129,4,106,1.0529801324503312,1.4792779320657978,0.010997776562303803
B,1,B1,189,a,2,FALSE,FALSE,6,5,NA,NA,NA,NA,106.908,5,111,1.7027027027027026,5,106,1.0529801324503312,0.6497225702523715,0.006077398980921647
B,2,B2,158,a,2,FALSE,FALSE,6,6,NA,NA,NA,NA,140.679,6,114,1.3859649122807018,6,106,1.0529801324503312,0.33298477983037067,0.002366982846269668
B,3,B3,173,a,2,FALSE,FALSE,6,7,NA,NA,NA,NA,148.805,7,112,1.5446428571428572,7,106,1.0529801324503312,0.49166272469252603,0.00330407395378197
B,4,B4,250,a,2,FALSE,FALSE,6,8,NA,NA,NA,NA,128.888,8,121,2.0661157024793386,8,106,1.0529801324503312,1.0131355700290074,0.007860588806009927
C,1,C1,282,a,2,FALSE,FALSE,6,9,NA,NA,NA,NA,125.014,9,120,2.35,9,106,1.0529801324503312,1.297019867549669,0.010374996940739989
C,2,C2,230,a,2,FALSE,FALSE,6,10,NA,NA,NA,NA,200.916,10,121,1.9008264462809918,10,106,1.0529801324503312,0.8478463138306607,0.0042199044069693836
C,3,C3,197,a,2,FALSE,FALSE,6,11,NA,NA,NA,NA,107.265,11,118,1.6694915254237288,11,106,1.0529801324503312,0.6165113929733976,0.005747554122718479
A,1,A1,953,a,22,FALSE,FALSE,6,1,NA,NA,NA,NA,193.749,1,122,7.811475409836065,1,123,1.2218543046357615,6.589621105200304,0.034011123181024436
A,2,A2,2742,a,22,FALSE,FALSE,6,2,NA,NA,NA,NA,169.793,2,118,23.23728813559322,2,123,1.2218543046357615,22.01543383095746,0.12966043259119903
