trace_id,family_id_group,treatment_group,AUC,n_timepoints,metric
1,6,NA,0.6479559675548756,7,metabolism_per_area_mm2_measurement
10,6,NA,0.5590509799309955,7,metabolism_per_area_mm2_measurement
11,6,NA,0.5750881791741737,7,metabolism_per_area_mm2_measurement
12,5,NA,0.5590838992491168,7,metabolism_per_area_mm2_measurement
13,5,NA,0.5818913187627941,7,metabolism_per_area_mm2_measurement
14,5,NA,0.5048875033080591,7,metabolism_per_area_mm2_measurement
15,5,NA,0.9343023960582552,7,metabolism_per_area_mm2_measurement
16,5,NA,0.37219921411079887,7,metabolism_per_area_mm2_measurement
17,5,NA,0.7114554641057825,7,metabolism_per_area_mm2_measurement
18,5,NA,0.6442328835084383,7,metabolism_per_area_mm2_measurement
19,5,NA,0.5051112928003298,7,metabolism_per_area_mm2_measurement
2,6,NA,2.2126666477145047,7,metabolism_per_area_mm2_measurement
20,5,NA,0.4519136324382248,7,metabolism_per_area_mm2_measurement
21,5,NA,1.5749897091247556,7,metabolism_per_area_mm2_measurement
22,5,NA,0.4357616047854083,7,metabolism_per_area_mm2_measurement
23,9,NA,0.4768259804446177,7,metabolism_per_area_mm2_measurement
24,9,NA,0.8418971845969484,7,metabolism_per_area_mm2_measurement
25,9,NA,0.8504891899057405,7,metabolism_per_area_mm2_measurement
26,9,NA,0.64535284464624,7,metabolism_per_area_mm2_measurement
27,9,NA,0.5775141673039851,7,metabolism_per_area_mm2_measurement
28,9,NA,0.9586913108810762,7,metabolism_per_area_mm2_measurement
29,9,NA,0.7084045603925498,7,metabolism_per_area_mm2_measurement
3,6,NA,0.7508864738833448,7,metabolism_per_area_mm2_measurement
30,9,NA,0.5639255464413928,7,metabolism_per_area_mm2_measurement
31,9,NA,0.629527926976852,7,metabolism_per_area_mm2_measurement
32,9,NA,0.6155441288456965,7,metabolism_per_area_mm2_measurement
33,9,NA,0.6927121400332934,7,metabolism_per_area_mm2_measurement
34,1,NA,0.44404512432780097,7,metabolism_per_area_mm2_measurement
35,1,NA,0.5696099556273782,7,metabolism_per_area_mm2_measurement
