contrast,estimate,SE,df,t.ratio,p.value,comparison,metric
1 - 10,0.08376626142109968,0.13414696688147845,90,0.6244364920685002,0.999422902835384,family:treatment,metabolism_per_area_mm2_measurement
1 - 3,0.03489848773422528,0.13414696688147837,90,0.2601511502310657,0.9999993069119235,family:treatment,metabolism_per_area_mm2_measurement
1 - 5,0.06918183245680998,0.13414696688147848,90,0.5157167102997827,0.9998610024435852,family:treatment,metabolism_per_area_mm2_measurement
1 - 6,-0.1041324234950415,0.13414696688147848,90,-0.7762562651680718,0.9972520063457797,family:treatment,metabolism_per_area_mm2_measurement
1 - 7,0.3135912276733583,0.13414696688147845,90,2.337669162139331,0.3313798865383988,family:treatment,metabolism_per_area_mm2_measurement
1 - 8,0.1361860793240326,0.13414696688147842,90,1.0152005855216673,0.9834774870700795,family:treatment,metabolism_per_area_mm2_measurement
1 - 9,0.043267644982589046,0.13414696688147837,90,0.32253912248956706,0.9999962524964527,family:treatment,metabolism_per_area_mm2_measurement
1 - 9b,0.11980317805146089,0.13414696688147845,90,0.8930740726870806,0.9928302189035141,family:treatment,metabolism_per_area_mm2_measurement
10 - 3,-0.0488677736868744,0.13414696688147845,90,-0.36428534183743466,0.9999903242287207,family:treatment,metabolism_per_area_mm2_measurement
10 - 5,-0.0145844289642897,0.13414696688147842,90,-0.10871978176871744,0.9999999993225407,family:treatment,metabolism_per_area_mm2_measurement
10 - 6,-0.18789868491614117,0.13414696688147845,90,-1.4006927572365722,0.8947397177609935,family:treatment,metabolism_per_area_mm2_measurement
10 - 7,0.22982496625225862,0.13414696688147848,90,1.7132326700708302,0.736893499861113,family:treatment,metabolism_per_area_mm2_measurement
10 - 8,0.052419817902932916,0.13414696688147845,90,0.3907640934531668,0.9999833327475085,family:treatment,metabolism_per_area_mm2_measurement
10 - 9,-0.04049861643851063,0.13414696688147842,90,-0.30189736957893343,0.9999977670418743,family:treatment,metabolism_per_area_mm2_measurement
10 - 9b,0.03603691663036121,0.13414696688147848,90,0.2686375806185804,0.9999991075204264,family:treatment,metabolism_per_area_mm2_measurement
3 - 5,0.0342833447225847,0.1341469668814784,90,0.25556556006871733,0.9999993975696579,family:treatment,metabolism_per_area_mm2_measurement
3 - 6,-0.13903091122926678,0.13414696688147842,90,-1.0364074153991376,0.9811788328637683,family:treatment,metabolism_per_area_mm2_measurement
3 - 7,0.278692739939133,0.13414696688147842,90,2.077518011908266,0.4949689510313303,family:treatment,metabolism_per_area_mm2_measurement
3 - 8,0.10128759158980732,0.1341469668814784,90,0.7550494352906018,0.9977371840652689,family:treatment,metabolism_per_area_mm2_measurement
3 - 9,0.008369157248363769,0.1341469668814784,90,0.06238797225850132,0.9999999999920206,family:treatment,metabolism_per_area_mm2_measurement
3 - 9b,0.0849046903172356,0.13414696688147842,90,0.6329229224560151,0.9993629385233281,family:treatment,metabolism_per_area_mm2_measurement
5 - 6,-0.17331425595185146,0.1341469668814784,90,-1.291972975467855,0.9312095147054498,family:treatment,metabolism_per_area_mm2_measurement
5 - 7,0.2444093952165483,0.1341469668814784,90,1.8219524518395487,0.6676716406159198,family:treatment,metabolism_per_area_mm2_measurement
5 - 8,0.06700424686722262,0.13414696688147837,90,0.49948387522188453,0.9998908324407656,family:treatment,metabolism_per_area_mm2_measurement
5 - 9,-0.02591418747422093,0.13414696688147834,90,-0.1931775878102161,0.9999999341918323,family:treatment,metabolism_per_area_mm2_measurement
5 - 9b,0.05062134559465091,0.1341469668814784,90,0.377357362387298,0.9999872800600207,family:treatment,metabolism_per_area_mm2_measurement
6 - 7,0.41772365116839977,0.1341469668814785,90,3.113925427307401,0.05948945252255067,family:treatment,metabolism_per_area_mm2_measurement
6 - 8,0.24031850281907408,0.13414696688147848,90,1.7914568506897384,0.687577252142942,family:treatment,metabolism_per_area_mm2_measurement
6 - 9,0.14740006847763054,0.13414696688147842,90,1.098795387657639,0.9729988159554146,family:treatment,metabolism_per_area_mm2_measurement
6 - 9b,0.22393560154650238,0.13414696688147848,90,1.6693303378551523,0.7632110691770507,family:treatment,metabolism_per_area_mm2_measurement
7 - 8,-0.1774051483493257,0.13414696688147845,90,-1.3224685766176638,0.9219813489478922,family:treatment,metabolism_per_area_mm2_measurement
7 - 9,-0.2703235826907692,0.13414696688147842,90,-2.0151300396497644,0.5371787815792683,family:treatment,metabolism_per_area_mm2_measurement
7 - 9b,-0.19378804962189738,0.13414696688147845,90,-1.44459508945225,0.8771762935575449,family:treatment,metabolism_per_area_mm2_measurement
8 - 9,-0.09291843434144355,0.1341469668814784,90,-0.6926614630321004,0.9987747811654633,family:treatment,metabolism_per_area_mm2_measurement
8 - 9b,-0.016382901272571707,0.13414696688147845,90,-0.12212651283458634,0.999999998287183,family:treatment,metabolism_per_area_mm2_measurement
9 - 9b,0.07653553306887184,0.13414696688147842,90,0.5705349501975139,0.999703766803459,family:treatment,metabolism_per_area_mm2_measurement
1 - 10,0.08376626142109968,0.13414696688147845,90,0.6244364920685002,0.999422902835384,family,metabolism_per_area_mm2_measurement
1 - 3,0.03489848773422528,0.13414696688147837,90,0.2601511502310657,0.9999993069119235,family,metabolism_per_area_mm2_measurement
1 - 5,0.06918183245680998,0.13414696688147848,90,0.5157167102997827,0.9998610024435852,family,metabolism_per_area_mm2_measurement
1 - 6,-0.1041324234950415,0.13414696688147848,90,-0.7762562651680718,0.9972520063457797,family,metabolism_per_area_mm2_measurement
1 - 7,0.3135912276733583,0.13414696688147845,90,2.337669162139331,0.3313798865383988,family,metabolism_per_area_mm2_measurement
1 - 8,0.1361860793240326,0.13414696688147842,90,1.0152005855216673,0.9834774870700795,family,metabolism_per_area_mm2_measurement
1 - 9,0.043267644982589046,0.13414696688147837,90,0.32253912248956706,0.9999962524964527,family,metabolism_per_area_mm2_measurement
1 - 9b,0.11980317805146089,0.13414696688147845,90,0.8930740726870806,0.9928302189035141,family,metabolism_per_area_mm2_measurement
10 - 3,-0.0488677736868744,0.13414696688147845,90,-0.36428534183743466,0.9999903242287207,family,metabolism_per_area_mm2_measurement
10 - 5,-0.0145844289642897,0.13414696688147842,90,-0.10871978176871744,0.9999999993225407,family,metabolism_per_area_mm2_measurement
10 - 6,-0.18789868491614117,0.13414696688147845,90,-1.4006927572365722,0.8947397177609935,family,metabolism_per_area_mm2_measurement
10 - 7,0.22982496625225862,0.13414696688147848,90,1.7132326700708302,0.736893499861113,family,metabolism_per_area_mm2_measurement
10 - 8,0.052419817902932916,0.13414696688147845,90,0.3907640934531668,0.9999833327475085,family,metabolism_per_area_mm2_measurement
10 - 9,-0.04049861643851063,0.13414696688147842,90,-0.30189736957893343,0.9999977670418743,family,metabolism_per_area_mm2_measurement
10 - 9b,0.03603691663036121,0.13414696688147848,90,0.2686375806185804,0.9999991075204264,family,metabolism_per_area_mm2_measurement
3 - 5,0.0342833447225847,0.1341469668814784,90,0.25556556006871733,0.9999993975696579,family,metabolism_per_area_mm2_measurement
3 - 6,-0.13903091122926678,0.13414696688147842,90,-1.0364074153991376,0.9811788328637683,family,metabolism_per_area_mm2_measurement
3 - 7,0.278692739939133,0.13414696688147842,90,2.077518011908266,0.4949689510313303,family,metabolism_per_area_mm2_measurement
3 - 8,0.10128759158980732,0.1341469668814784,90,0.7550494352906018,0.9977371840652689,family,metabolism_per_area_mm2_measurement
3 - 9,0.008369157248363769,0.1341469668814784,90,0.06238797225850132,0.9999999999920206,family,metabolism_per_area_mm2_measurement
3 - 9b,0.0849046903172356,0.13414696688147842,90,0.6329229224560151,0.9993629385233281,family,metabolism_per_area_mm2_measurement
5 - 6,-0.17331425595185146,0.1341469668814784,90,-1.291972975467855,0.9312095147054498,family,metabolism_per_area_mm2_measurement
5 - 7,0.2444093952165483,0.1341469668814784,90,1.8219524518395487,0.6676716406159198,family,metabolism_per_area_mm2_measurement
5 - 8,0.06700424686722262,0.13414696688147837,90,0.49948387522188453,0.9998908324407656,family,metabolism_per_area_mm2_measurement
5 - 9,-0.02591418747422093,0.13414696688147834,90,-0.1931775878102161,0.9999999341918323,family,metabolism_per_area_mm2_measurement
5 - 9b,0.05062134559465091,0.1341469668814784,90,0.377357362387298,0.9999872800600207,family,metabolism_per_area_mm2_measurement
6 - 7,0.41772365116839977,0.1341469668814785,90,3.113925427307401,0.05948945252255067,family,metabolism_per_area_mm2_measurement
6 - 8,0.24031850281907408,0.13414696688147848,90,1.7914568506897384,0.687577252142942,family,metabolism_per_area_mm2_measurement
6 - 9,0.14740006847763054,0.13414696688147842,90,1.098795387657639,0.9729988159554146,family,metabolism_per_area_mm2_measurement
6 - 9b,0.22393560154650238,0.13414696688147848,90,1.6693303378551523,0.7632110691770507,family,metabolism_per_area_mm2_measurement
7 - 8,-0.1774051483493257,0.13414696688147845,90,-1.3224685766176638,0.9219813489478922,family,metabolism_per_area_mm2_measurement
7 - 9,-0.2703235826907692,0.13414696688147842,90,-2.0151300396497644,0.5371787815792683,family,metabolism_per_area_mm2_measurement
7 - 9b,-0.19378804962189738,0.13414696688147845,90,-1.44459508945225,0.8771762935575449,family,metabolism_per_area_mm2_measurement
8 - 9,-0.09291843434144355,0.1341469668814784,90,-0.6926614630321004,0.9987747811654633,family,metabolism_per_area_mm2_measurement
8 - 9b,-0.016382901272571707,0.13414696688147845,90,-0.12212651283458634,0.999999998287183,family,metabolism_per_area_mm2_measurement
9 - 9b,0.07653553306887184,0.13414696688147842,90,0.5705349501975139,0.999703766803459,family,metabolism_per_area_mm2_measurement
