imageJ_ID,Area,sample_ID.group
1,218.772,68
2,168.814,70
3,178.151,67
4,89.624,69
5,178.537,73
6,102.994,72
7,160.349,71
8,224.928,76
9,272.686,79
10,129.52,77
11,188.769,78
