imageJ_ID,Area,sample_ID.group
1,198.68,14
2,167.546,12
3,212.213,13
4,209.711,18
5,126.047,16
6,173.733,17
7,148.623,15
8,316.133,22
9,198.226,19
10,132.652,21
11,169.726,20
