imageJ_ID,Area,sample_ID.group
1,118.689,4
2,117.206,3
3,239.681,1
4,78.384,2
5,237.183,8
6,224.198,5
7,151.101,6
8,217.159,7
9,213.154,10
10,158.011,11
11,201.323,9
