plate_ID,plate_well,individual_id,familly_id.group,timepoint_count,timepoint_hrs,alive.measurement,date,time,notes
plate-H,B04,92,7,0,0,TRUE,6092026,12:35,
plate-H,C01,93,9,0,0,TRUE,6092026,12:35,
plate-H,C02,94,5,0,0,TRUE,6092026,12:35,
plate-H,C03,95,6,0,0,TRUE,6092026,12:35,
plate-H,C04,96,10,0,0,TRUE,6092026,12:35,
plate-I,A01,97,10,0,0,TRUE,6092026,12:35,
plate-I,A02,98,8,0,0,TRUE,6092026,12:35,
plate-I,A03,99,9b,0,0,TRUE,6092026,12:35,
plate-I,A04,100,1,0,0,TRUE,6092026,12:35,
plate-I,B01,101,3,0,0,TRUE,6092026,12:35,
plate-I,B02,102,7,0,0,TRUE,6092026,12:35,
plate-I,B03,103,9,0,0,TRUE,6092026,12:35,
plate-I,B04,104,,0,0,TRUE,6092026,12:35,
plate-I,C01,105,7,0,0,TRUE,6092026,12:35,
plate-I,C02,106,9,0,0,TRUE,6092026,12:35,
plate-I,C03,107,5,0,0,TRUE,6092026,12:35,
plate-I,C04,108,6,0,0,TRUE,6092026,12:35,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
