"Contrast","Diff (log10)","Fold change","95% CI (fold)","p adj","Significant"
"F07:36C-F05:36C",0.5166,3.29,"2.22 - 4.87",3.241e-08,"yes"
"F05:36C-F07:ambient",-0.5136,0.31,"0.21 - 0.45",3.637e-08,"yes"
"F05:36C-F05:ambient",-0.4712,0.34,"0.23 - 0.50",1.954e-07,"yes"
"F07:36C-F05:ambient",0.0454,1.11,"0.75 - 1.65",0.8862,"no"
"F07:ambient-F05:ambient",0.0424,1.1,"0.74 - 1.63",0.9046,"no"
"F07:36C-F07:ambient",0.003,1.01,"0.68 - 1.49",1,"no"
