ID,Family,20,43,66,91,167
1,1,0,1,1,1,1
2,1,0,0,0,1,1
3,1,0,0,0,1,1
4,1,0,0,0,1,1
5,1,0,0,0,1,1
6,1,0,0,0,0,1
7,1,0,0,0,0,1
8,1,0,0,0,0,1
9,1,0,0,0,0,1
10,1,0,0,0,0,1
11,1,0,0,0,0,1
12,1,0,0,0,0,1
13,1,0,0,0,0,1
14,1,0,0,0,0,1
15,1,0,0,0,0,1
16,1,0,0,0,0,0
17,1,0,0,0,0,0
18,1,0,0,0,0,0
19,1,0,0,0,0,0
20,1,0,0,0,0,0
21,1,0,0,0,0,0
22,2,0,1,1,1,1
23,2,0,0,0,1,1
24,2,0,0,0,1,1
25,2,0,0,0,1,1
26,2,0,0,0,1,1
27,2,0,0,0,0,1
28,2,0,0,0,0,1
29,2,0,0,0,0,1
30,2,0,0,0,0,1
31,2,0,0,0,0,1
32,2,0,0,0,0,1
33,2,0,0,0,0,1
34,2,0,0,0,0,1
35,2,0,0,0,0,1
36,2,0,0,0,0,1
37,2,0,0,0,0,1
38,2,0,0,0,0,1
39,2,0,0,0,0,0
40,2,0,0,0,0,0
41,2,0,0,0,0,0
42,2,0,0,0,0,0
43,2,0,0,0,0,0
44,3,0,1,1,1,1
45,3,0,1,1,1,1
46,3,0,0,1,1,1
47,3,0,0,1,1,1
48,3,0,0,1,1,1
49,3,0,0,1,1,1
50,3,0,0,1,1,1
51,3,0,0,1,1,1
52,3,0,0,0,0,1
53,3,0,0,0,0,1
54,3,0,0,0,0,1
55,3,0,0,0,0,1
56,3,0,0,0,0,1
57,3,0,0,0,0,1
58,3,0,0,0,0,1
59,3,0,0,0,0,1
60,3,0,0,0,0,0
61,3,0,0,0,0,0
62,3,0,0,0,0,0
63,5,0,1,1,1,1
64,5,0,0,1,1,1
65,5,0,0,1,1,1
66,5,0,0,1,1,1
67,5,0,0,1,1,1
68,5,0,0,0,1,1
69,5,0,0,0,0,1
70,5,0,0,0,0,1
71,5,0,0,0,0,1
72,5,0,0,0,0,1
73,5,0,0,0,0,1
74,5,0,0,0,0,1
75,5,0,0,0,0,1
76,5,0,0,0,0,1
77,5,0,0,0,0,0
78,5,0,0,0,0,0
79,5,0,0,0,0,0
80,5,0,0,0,0,0
81,5,0,0,0,0,0
82,6,0,1,1,1,1
83,6,0,1,1,1,1
84,6,0,1,1,1,1
85,6,0,1,1,1,1
86,6,0,0,1,1,1
87,6,0,0,1,1,1
88,6,0,0,1,1,1
89,6,0,0,0,1,1
90,6,0,0,0,1,1
91,6,0,0,0,1,1
92,6,0,0,0,1,1
93,6,0,0,0,0,1
94,6,0,0,0,0,1
95,6,0,0,0,0,1
96,6,0,0,0,0,1
97,6,0,0,0,0,1
98,6,0,0,0,0,1
99,6,0,0,0,0,1
100,6,0,0,0,0,0
101,6,0,0,0,0,0
102,6,0,0,0,0,0
103,7,0,1,1,1,1
104,7,0,1,1,1,1
105,7,0,1,1,1,1
106,7,0,0,1,1,1
107,7,0,0,1,1,1
108,7,0,0,1,1,1
109,7,0,0,1,1,1
110,7,0,0,1,1,1
111,7,0,0,1,1,1
112,7,0,0,1,1,1
113,7,0,0,1,1,1
114,7,0,0,1,1,1
115,7,0,0,0,1,1
116,7,0,0,0,1,1
117,7,0,0,0,1,1
118,7,0,0,0,1,1
119,7,0,0,0,1,1
120,7,0,0,0,1,1
121,7,0,0,0,1,1
122,7,0,0,0,1,1
123,7,0,0,0,0,1
124,7,0,0,0,0,1
