imageJ_ID,area.mm2,sample_ID
1,1660.706,5
2,1455.977,1
3,1503.659,2
4,1538.825,4
5,1039.257,3
6,1313.699,8
7,1194.258,9
8,1294.051,10
9,1059.598,7
10,1050.122,6
11,1511.972,13
12,1619.366,14
13,1645.937,15
14,1695.44,12
15,880.972,11
