imageJ_ID,area.mm2,sample_ID
1,2234.453,5
2,1748.208,2
3,1978.683,4
4,1916.983,3
5,2087.54,1
6,2099.719,8
7,2269.075,10
8,1717.226,9
9,1767.311,7
10,1424.038,6
11,2055.264,15
12,2110.884,12
13,1808.707,11
14,1351.023,13
15,1398.442,14
