imageJ_ID,area.mm2,sample_ID
1,1770.54,5
2,1586.598,2
3,1809.857,3
4,1491.119,4
5,1698.718,1
6,1864.168,10
7,1535.638,8
8,1666.195,9
9,2150.382,7
10,1550.909,6
11,1834.162,14
12,1779.74,12
13,1591.726,13
14,1933.713,11
15,1496.432,15
