imageJ_ID,area.mm2,sample_ID
1,1781.282,5
2,1896.549,4
3,1788.276,1
4,1702.995,2
5,1484.715,3
6,2036.578,10
7,1598.776,8
8,2134.66,9
9,1973.247,7
10,1968.882,6
11,1698.831,15
12,1664.956,13
13,1432.67,14
14,1462.783,12
15,1495.709,11
