imageJ_ID,area.mm2,sample_ID
1,1244.061,5
2,1372.152,2
3,1066.954,4
4,1594.858,1
5,1054.382,3
6,1866.504,10
7,1265.022,8
8,1399.625,9
9,1479.658,7
10,1250.779,6
11,1951.679,11
12,1570.989,12
13,1483.787,15
14,1087.971,13
15,981.929,14
