 ,Area
1,1813.079
2,1600.058
3,2636.478
4,1974.286
5,1395.968
6,1882.948
7,1818.654
8,1365.336
9,1833.893
10,1224.595
11,2152.469
12,1601.215
13,1658.314
14,1550.212
15,1941.262
