plate_ID,plate_well,is_blank,family_ID.group,sample_ID.group,treatment.group,width_mm.measurement,length_mm.measurement,weight_mg.measurement,area_mm2.measurement,imageJ_ID
plate-B,A01,FALSE,6,1,,,,,,
plate-B,A02,FALSE,5,56,,,,,,
plate-B,A03,FALSE,9b,67,,,,,,
plate-B,A04,FALSE,1,78,,,,,,
plate-B,B01,FALSE,9,12,,,,,,
plate-B,B02,FALSE,9,13,,,,,,
plate-B,B03,FALSE,7,34,,,,,,
plate-B,B04,FALSE,3,89,,,,,,
plate-B,C01,FALSE,6,2,,,,,,
plate-B,C02,TRUE,,,,,,,,
plate-B,C03,FALSE,10,23,,,,,,
plate-B,C04,FALSE,8,47,,,,,,
plate-D,A01,FALSE,9b,68,,,,,,
plate-D,A02,FALSE,6,3,,,,,,
plate-D,A03,FALSE,8,46,,,,,,
plate-D,A04,FALSE,9,14,,,,,,
plate-D,B01,FALSE,5,57,,,,,,
plate-D,B02,FALSE,8,45,,,,,,
plate-D,B03,FALSE,10,24,,,,,,
plate-D,B04,FALSE,1,79,,,,,,
plate-D,C01,FALSE,3,90,,,,,,
plate-D,C02,FALSE,7,35,,,,,,
plate-D,C03,FALSE,10,25,,,,,,
plate-D,C04,TRUE,,,,,,,,
plate-F,A01,FALSE,7,36,,,,,,
plate-F,A02,FALSE,1,80,,,,,,
plate-F,A03,FALSE,8,48,,,,,,
plate-F,A04,FALSE,6,4,,,,,,
plate-F,B01,FALSE,9b,69,,,,,,
plate-F,B02,FALSE,1,81,,,,,,
plate-F,B03,FALSE,5,58,,,,,,
plate-F,B04,FALSE,10,26,,,,,,
plate-F,C01,FALSE,7,37,,,,,,
plate-F,C02,FALSE,9,15,,,,,,
plate-F,C03,FALSE,3,91,,,,,,
plate-F,C04,TRUE,,,,,,,,
plate-H,A01,FALSE,1,82,,,,,,
plate-H,A02,FALSE,8,49,,,,,,
plate-H,A03,FALSE,7,38,,,,,,
plate-H,A04,FALSE,10,27,,,,,,
plate-H,B01,TRUE,,,,,,,,
plate-H,B02,FALSE,9,16,,,,,,
plate-H,B03,FALSE,5,66,,,,,,
plate-H,B04,FALSE,3,92,,,,,,
plate-H,C01,FALSE,6,5,,,,,,
plate-H,C02,FALSE,9b,70,,,,,,
plate-H,C03,FALSE,3,93,,,,,,
plate-H,C04,FALSE,5,59,,,,,,
plate-J,A01,TRUE,,,,,,,,
plate-J,A02,FALSE,1,83,,,,,,
plate-J,A03,FALSE,9,17,,,,,,
plate-J,A04,FALSE,9b,71,,,,,,
plate-J,B01,FALSE,10,29,,,,,,
plate-J,B02,FALSE,3,94,,,,,,
plate-J,B03,FALSE,6,6,,,,,,
plate-J,B04,FALSE,8,50,,,,,,
plate-J,C01,FALSE,5,60,,,,,,
plate-J,C02,FALSE,7,39,,,,,,
plate-J,C03,FALSE,10,28,,,,,,
plate-J,C04,FALSE,9b,72,,,,,,
plate-L,A01,FALSE,9b,73,,,,,,
plate-L,A02,FALSE,7,40,,,,,,
plate-L,A03,FALSE,10,30,,,,,,
plate-L,A04,FALSE,1,84,,,,,,
plate-L,B01,FALSE,8,51,,,,,,
plate-L,B02,FALSE,9,18,,,,,,
plate-L,B03,TRUE,,,,,,,,
plate-L,B04,FALSE,3,95,,,,,,
plate-L,C01,FALSE,5,61,,,,,,
plate-L,C02,FALSE,7,41,,,,,,
plate-L,C03,FALSE,3,96,,,,,,
plate-L,C04,FALSE,6,7,,,,,,
plate-N,A01,TRUE,,,,,,,,
plate-N,A02,FALSE,9,22,,,,,,
plate-N,A03,FALSE,8,52,,,,,,
plate-N,A04,FALSE,10,31,,,,,,
plate-N,B01,FALSE,9b,74,,,,,,
plate-N,B02,FALSE,7,42,,,,,,
plate-N,B03,FALSE,5,62,,,,,,
plate-N,B04,FALSE,6,8,,,,,,
plate-N,C01,FALSE,9,19,,,,,,
plate-N,C02,FALSE,1,85,,,,,,
plate-N,C03,FALSE,9b,77,,,,,,
plate-N,C04,FALSE,3,97,,,,,,
plate-P,A01,FALSE,10,32,,,,,,
plate-P,A02,FALSE,8,53,,,,,,
plate-P,A03,FALSE,9b,75,,,,,,
plate-P,A04,FALSE,6,9,,,,,,
plate-P,B01,FALSE,9,20,,,,,,
plate-P,B02,FALSE,1,86,,,,,,
plate-P,B03,FALSE,3,98,,,,,,
plate-P,B04,FALSE,5,63,,,,,,
plate-P,C01,FALSE,7,43,,,,,,
plate-P,C02,FALSE,1,87,,,,,,
plate-P,C03,FALSE,5,64,,,,,,
plate-P,C04,FALSE,8,54,,,,,,
plate-R,A01,TRUE,,,,,,,,
plate-R,A02,TRUE,,,,,,,,
plate-R,A03,FALSE,9,21,,,,,,
plate-R,A04,FALSE,5,65,,,,,,
plate-R,B01,FALSE,7,44,,,,,,
plate-R,B02,FALSE,9b,76,,,,,,
plate-R,B03,FALSE,10,33,,,,,,
plate-R,B04,FALSE,1,88,,,,,,
plate-R,C01,FALSE,8,55,,,,,,
plate-R,C02,FALSE,6,10,,,,,,
plate-R,C03,FALSE,6,11,,,,,,
plate-R,C04,FALSE,3,99,,,,,,
