metric,window,treatment_group,n,mean,sd,se,median
fold_change,acute_0_2h,c,12,6.783189450055142,3.694073457554953,1.066387152562802,7.441892009164121
fold_change,acute_0_2h,r,12,6.749992719731328,3.873365729870777,1.1181443734053822,5.9863580047403575
fold_change,acute_0_2h,s,12,3.8094781909273854,1.9497963282408157,0.5628577174873894,2.715380573830409
fold_change,acute_0_2h,t,12,2.946296693951368,1.63298578243988,0.4714023905372482,1.9777755471472125
fold_change,acute_0_2h,u,12,3.3793367877694904,1.8562857186796429,0.5358635296862749,2.5525726392251813
fold_change,acute_0_2h,v,12,6.092548696201717,3.298590937140867,0.9522211827523698,4.6766112569262175
fold_change,full_0_18.75h,c,12,235.4079041266065,116.54077019155359,33.64242252082989,287.36103339350177
fold_change,full_0_18.75h,r,12,225.8141570901015,103.00615109553507,29.735314531597222,232.48468283582088
fold_change,full_0_18.75h,s,12,117.43870271817632,96.64067828270468,27.897760810593788,81.80614563826467
fold_change,full_0_18.75h,t,12,76.27675515032043,85.95464162705535,24.81296774073911,21.861191440138807
fold_change,full_0_18.75h,u,12,92.80263118461703,89.6943695518941,25.892534202789918,51.690366812571234
fold_change,full_0_18.75h,v,12,196.64253530106123,81.3133217035319,23.473134087118392,175.72177041499333
metabolism_per_area_mm2_measurement,acute_0_2h,c,12,0.049692874334557276,0.027062352368901064,0.007812228212544768,0.0562813491237933
metabolism_per_area_mm2_measurement,acute_0_2h,r,12,0.05740334448832869,0.035672261946854675,0.010297695018809696,0.042785908737267064
metabolism_per_area_mm2_measurement,acute_0_2h,s,12,0.03130241718189402,0.016821147624912425,0.004855847054660811,0.02701985878082855
metabolism_per_area_mm2_measurement,acute_0_2h,t,12,0.027024076384239593,0.02229775450681317,0.006436807283416388,0.019317263274051526
metabolism_per_area_mm2_measurement,acute_0_2h,u,12,0.025746189951428418,0.014698271813815422,0.004243025594164312,0.019880288342954466
metabolism_per_area_mm2_measurement,acute_0_2h,v,12,0.04730590544992402,0.023613360728419956,0.0068165900865125,0.04252327736894777
metabolism_per_area_mm2_measurement,full_0_18.75h,c,12,1.7680242570577596,0.9093259201496282,0.26249978238974603,2.0439594969231702
metabolism_per_area_mm2_measurement,full_0_18.75h,r,12,1.9074598360232324,0.9751126743747066,0.2814907825202264,1.780500561056956
metabolism_per_area_mm2_measurement,full_0_18.75h,s,12,0.9472937924285898,0.8051391566923012,0.2324236544257042,0.5372879207156035
metabolism_per_area_mm2_measurement,full_0_18.75h,t,12,0.7211652753150709,0.9941125806436615,0.28697558301970577,0.20394897993710723
metabolism_per_area_mm2_measurement,full_0_18.75h,u,12,0.7089448942207205,0.6938634991963207,0.20030113902092575,0.36492399238694206
metabolism_per_area_mm2_measurement,full_0_18.75h,v,12,1.5434103839156208,0.6475632191222133,0.18693539943875523,1.578013616584382
