window,treatment_group,median_auc,mean_auc,pct_nonresponder,severity_rank
acute_0_2h,t,1.9777755471472125,2.946296693951368,67,1
acute_0_2h,u,2.5525726392251813,3.3793367877694904,33,2
acute_0_2h,s,2.715380573830409,3.8094781909273854,0,3
acute_0_2h,v,4.6766112569262175,6.092548696201717,0,4
acute_0_2h,r,5.9863580047403575,6.749992719731328,0,5
acute_0_2h,c,7.441892009164121,6.783189450055142,0,6
full_0_18.75h,t,21.861191440138807,76.27675515032043,67,1
full_0_18.75h,u,51.690366812571234,92.80263118461703,33,2
full_0_18.75h,s,81.80614563826467,117.43870271817632,0,3
full_0_18.75h,v,175.72177041499333,196.64253530106123,0,4
full_0_18.75h,r,232.48468283582088,225.8141570901015,0,5
full_0_18.75h,c,287.36103339350177,235.4079041266065,0,6
