plate_id,time_hr,temp_c
c,0,20.5
r,0,20.4
s,0,20.4
t,0,20.5
u,0,20.5
v,0,20.4
c,0.25,21.2
r,0.25,21.3
s,0.25,21.1
t,0.25,21.2
u,0.25,21.1
v,0.25,21.1
c,0.5,22
r,0.5,22.1
s,0.5,22
t,0.5,22.1
u,0.5,21.9
v,0.5,21.9
c,0.75,22.9
r,0.75,23
s,0.75,22.8
t,0.75,22.9
u,0.75,22.9
v,0.75,22.7
c,1,23.7
r,1,23.7
s,1,23.6
t,1,23.6
u,1,23.7
v,1,23.7
c,2,24.8
r,2,24.8
s,2,24.8
t,2,24.7
u,2,24.8
v,2,24.7
c,18.75,25.5
r,18.75,25.5
s,18.75,25.5
t,18.75,25.5
u,18.75,25.5
v,18.75,25.5
