20130,20438,20831,,,,1481,1363,1599,,,
11209,11410,12077,,,,1055,1035,1170,,,
886,845,1144,,,,285,297,313,,,
2422,2365,2722,,,,627,648,634,,,
1928,1831,1912,,,,685,641,647,,,
67531,63674,71682,,,,376,642,455,,,
,,,,,,,,,,,
,,,,,,,,,,,

