C7-glyc-35-df.50,C7-glyc-35-df.50,C7-glyc-35-df.50,E6-glyc-7-df.20,E6-glyc-7-df.20,E6-glyc-7-df.20,C7-glu-35-df.50,C7-glu-35-df.50,C7-glu-35-df.50,E6-glu-7-df.20,E6-glu-7-df.20,E6-glu-7-df.20
C7-glyc-35-df.100,C7-glyc-35-df.100,C7-glyc-35-df.100,E7-glyc-11-df.20,E7-glyc-11-df.20,E7-glyc-11-df.20,C7-glu-35-df.100,C7-glu-35-df.100,C7-glu-35-df.100,E7-glu-11-df.20,E7-glu-11-df.20,E7-glu-11-df.20
D2-glyc-22-df.20,D2-glyc-22-df.20,D2-glyc-22-df.20,,,,D2-glu-22-df.20,D2-glu-22-df.20,D2-glu-22-df.20,,,
E4-glyc-31-df.20,E4-glyc-31-df.20,E4-glyc-31-df.20,,,,E4-glu-31-df.20,E4-glu-31-df.20,E4-glu-31-df.20,,,
E5-glyc-17-df.20,E5-glyc-17-df.20,E5-glyc-17-df.20,,,,E5-glu-17-df.20,E5-glu-17-df.20,E5-glu-17-df.20,,,
STD-glyc-20,STD-glyc-2,STD-glyc-0.2,STD-glyc-0.02,STD-glyc-0,,STD-glu-100,STD-glu-10,STD-glu-1,STD-glu-0.1,STD-glu-0,
STD-glyc-20,STD-glyc-2,STD-glyc-0.2,STD-glyc-0.02,STD-glyc-0,,STD-glu-100,STD-glu-10,STD-glu-1,STD-glu-0.1,STD-glu-0,
STD-glyc-20,STD-glyc-2,STD-glyc-0.2,STD-glyc-0.02,STD-glyc-0,,STD-glu-100,STD-glu-10,STD-glu-1,STD-glu-0.1,STD-glu-0,

