18.0A-glyc-19.3-df.20,18.0A-glyc-19.3-df.20,18.0A-glyc-19.3-df.20,18.7C-glyc-14.5-df.20,18.7C-glyc-14.5-df.20,18.7C-glyc-14.5-df.20,18.0A-glu-19.3-df.20,18.0A-glu-19.3-df.20,18.0A-glu-19.3-df.20,18.7C-glu-14.5-df.20,18.7C-glu-14.5-df.20,18.7C-glu-14.5-df.20
18.0B-glyc-12.0-df.20,18.0B-glyc-12.0-df.20,18.0B-glyc-12.0-df.20,24.0A-glyc-21.6-df.20,24.0A-glyc-21.6-df.20,24.0A-glyc-21.6-df.20,18.0B-glu-12.0-df.20,18.0B-glu-12.0-df.20,18.0B-glu-12.0-df.20,24.0A-glu-21.6-df.20,24.0A-glu-21.6-df.20,24.0A-glu-21.6-df.20
18.0C-glyc-21.0-df.20,18.0C-glyc-21.0-df.20,18.0C-glyc-21.0-df.20,24.0B-glyc-17.4-df.20,24.0B-glyc-17.4-df.20,24.0B-glyc-17.4-df.20,18.0C-glu-21.0-df.20,18.0C-glu-21.0-df.20,18.0C-glu-21.0-df.20,24.0B-glu-17.4-df.20,24.0B-glu-17.4-df.20,24.0B-glu-17.4-df.20
18.2A-glyc-21.9-df.20,18.2A-glyc-21.9-df.20,18.2A-glyc-21.9-df.20,24.0C-glyc-15.6-df.20,24.0C-glyc-15.6-df.20,24.0C-glyc-15.6-df.20,18.2A-glu-21.9-df.20,18.2A-glu-21.9-df.20,18.2A-glu-21.9-df.20,24.0C-glu-15.6-df.20,24.0C-glu-15.6-df.20,24.0C-glu-15.6-df.20
18.2B-glyc-20.4-df.20,18.2B-glyc-20.4-df.20,18.2B-glyc-20.4-df.20,0.0B-glyc-21.4-df.20,0.0B-glyc-21.4-df.20,0.0B-glyc-21.4-df.20,18.2B-glu-20.4-df.20,18.2B-glu-20.4-df.20,18.2B-glu-20.4-df.20,0.0B-glu-21.4-df.20,0.0B-glu-21.4-df.20,0.0B-glu-21.4-df.20
18.2C-glyc-21.4-df.20,18.2C-glyc-21.4-df.20,18.2C-glyc-21.4-df.20,0.0C-glyc-21.9-df.20,0.0C-glyc-21.9-df.20,0.0C-glyc-21.9-df.20,18.2C-glu-21.4-df.20,18.2C-glu-21.4-df.20,18.2C-glu-21.4-df.20,0.0C-glu-21.9-df.20,0.0C-glu-21.9-df.20,0.0C-glu-21.9-df.20
18.7A-glyc-12.3-df.20,18.7A-glyc-12.3-df.20,18.7A-glyc-12.3-df.20,,,,18.7A-glu-12.3-df.20,18.7A-glu-12.3-df.20,18.7A-glu-12.3-df.20,,,
18.7B-glyc-20.3-df.20,18.7B-glyc-20.3-df.20,18.7B-glyc-20.3-df.20,,,,18.7B-glu-20.3-df.20,18.7B-glu-20.3-df.20,18.7B-glu-20.3-df.20,,,

