,1,2,3,4,5,6,7,8,9,10,11,12
A,148538,162161,164823,69,15,10,6,6,7,8,4,7,Lum
B,156919,171436,159759,70,7,6,7,5,5,8,6,7,Lum
C,1253,1185,1442,22,10,3,5,5,6,5,5,7,Lum
D,513,468,508,11,6,5,4,4,4,5,6,5,Lum
E,39,25,11,9,7,12,44,12,6,5,6,5,Lum
F,143671,10701,1775,1013,965,58,123278,11464,1253,380,256,5,Lum
G,147053,9993,1794,1081,1043,74,120537,11802,1204,382,263,4,Lum
H,155087,11134,1840,1028,1815,53,124845,11452,1229,374,253,6,Lum

