6528,6498,6599,9137,9214,9304,31079,30545,30678,833,776,860
8906,8471,8849,29,19,16,30,27,21,12,5,6
61432,62800,60190,28374,27652,28683,11790,12124,12465,3474,1771,1415
804,631,608,499,418,21,10,10,11,8,6,5
570,576,604,9,4,7,7,6,9,5,6,5
7,5,7,9,5,4,4,8,5,4,4,4
8,8,4,5,3,7,7,5,4,6,3,5
3,6,5,4,4,4,5,2,2,8,4,4

