imageJ_ID,Area,sample_ID.group
1,125.373,89
2,293.326,91
3,185.545,92
4,155.526,90
5,181.691,93
6,209.378,94
7,111.631,95
8,152.108,96
9,204.506,97
10,214.085,99
11,144.809,98
