imageJ_ID,Area,sample_ID.group
1,238.291,57
2,241.628,56
3,181.316,58
4,142.423,59
5,155.571,62
6,108.862,61
7,162.173,60
8,223.296,66
9,151.388,63
10,178.709,65
11,105.138,64
