contrast,estimate,SE,df,t.ratio,p.value,comparison,metric
1 - 10,2.479808785848841,1.7576279161579664,76,1.4108838184986865,0.8902278253244316,family:treatment,metabolism_per_area_mm2_measurement
1 - 3,0.6389533102198903,1.8005031902663755,76,0.3548748559147848,0.9999919328845708,family:treatment,metabolism_per_area_mm2_measurement
1 - 5,2.5020415608979336,1.8005031902663782,76,1.3896346168249585,0.8983339415652731,family:treatment,metabolism_per_area_mm2_measurement
1 - 6,0.6942053224080379,1.7576279161579593,76,0.3949671691182044,0.999981507217099,family:treatment,metabolism_per_area_mm2_measurement
1 - 7,3.0583872798405602,1.75762791615796,76,1.7400652616658254,0.7200768714881266,family:treatment,metabolism_per_area_mm2_measurement
1 - 8,-0.38332999632087106,1.8005031902663755,76,-0.2129015923954899,0.9999998545142312,family:treatment,metabolism_per_area_mm2_measurement
1 - 9,3.3147934136205035,1.7576279161579598,76,1.885947180940542,0.6252776896873196,family:treatment,metabolism_per_area_mm2_measurement
1 - 9b,3.1893602400154393,1.7576279161579609,76,1.8145821483008389,0.6725178389670188,family:treatment,metabolism_per_area_mm2_measurement
10 - 3,-1.8408554756289506,1.7025161037507865,76,-1.0812558375062595,0.9752567432946804,family:treatment,metabolism_per_area_mm2_measurement
10 - 5,0.022232775049092712,1.7025161037507868,76,0.013058775185804134,1,family:treatment,metabolism_per_area_mm2_measurement
10 - 6,-1.7856034634408031,1.6571074910907662,76,-1.077542327845888,0.9757720942319486,family:treatment,metabolism_per_area_mm2_measurement
10 - 7,0.5785784939917193,1.6571074910907673,76,0.34914964605638127,0.9999928916737025,family:treatment,metabolism_per_area_mm2_measurement
10 - 8,-2.863138782169712,1.702516103750786,76,-1.6817102498249363,0.7555413266507978,family:treatment,metabolism_per_area_mm2_measurement
10 - 9,0.8349846277716626,1.6571074910907666,76,0.5038807876138719,0.9998809901253928,family:treatment,metabolism_per_area_mm2_measurement
10 - 9b,0.7095514541665984,1.6571074910907675,76,0.4281867398351728,0.9999655606107988,family:treatment,metabolism_per_area_mm2_measurement
3 - 5,1.8630882506780433,1.746744666524668,76,1.0666059478428827,0.9772432420031142,family:treatment,metabolism_per_area_mm2_measurement
3 - 6,0.05525201218814757,1.7025161037507852,76,0.03245315099600102,1,family:treatment,metabolism_per_area_mm2_measurement
3 - 7,2.4194339696206697,1.7025161037507845,76,1.4210931481296745,0.8861978182012309,family:treatment,metabolism_per_area_mm2_measurement
3 - 8,-1.0222833065407615,1.7467446665246675,76,-0.5852505670303272,0.9996352486518734,family:treatment,metabolism_per_area_mm2_measurement
3 - 9,2.6758401034006134,1.702516103750784,76,1.5716973821895228,0.8168346851050073,family:treatment,metabolism_per_area_mm2_measurement
