contrast,estimate,SE,df,t.ratio,p.value,comparison,metric
control - oae,-8.584449746238295e-4,4.1259374944884494e-4,90,-2.0806058641716363,0.04031203346669938,family:treatment,metabolism_per_area_mm2_measurement
control - oae,-8.584449746238295e-4,4.1259374944884494e-4,90,-2.0806058641716363,0.04031203346669938,treatment,metabolism_per_area_mm2_measurement
