contrast,estimate,SE,df,t.ratio,p.value,comparison,metric
family1 - family10,-8.510092675865087e-4,0.010347165067395369,117,-0.08224564526066155,0.9999999999291509,family:treatment,metabolism_per_area_mm2_measurement
family1 - family2,0.0026741384236960756,0.010347165067395364,117,0.2584416510491817,0.9999993603815642,family:treatment,metabolism_per_area_mm2_measurement
family1 - family3,-0.01230451856385225,0.008448424899823127,117,-1.4564275246276797,0.8729128398172838,family:treatment,metabolism_per_area_mm2_measurement
family1 - family5,-7.62306634999961e-4,0.008448424899823139,117,-0.09023062216199841,0.9999999998514304,family:treatment,metabolism_per_area_mm2_measurement
family1 - family6,0.0169981496978934,0.016541086802378323,117,1.027631974910461,0.9824245196364796,family:treatment,metabolism_per_area_mm2_measurement
family1 - family7,-0.007113388847768537,0.009518007525217276,117,-0.747361128778489,0.9979385385096731,family:treatment,metabolism_per_area_mm2_measurement
family1 - family8,-0.0019735668285881486,0.010347165067395388,117,-0.19073502894111452,0.9999999422020626,family:treatment,metabolism_per_area_mm2_measurement
family1 - family9,0.004269573954019333,0.008448424899823139,117,0.5053692261747764,0.9998837084655283,family:treatment,metabolism_per_area_mm2_measurement
family10 - family2,0.0035251476912825843,0.011947877074020424,117,0.29504385335096045,0.9999981865569351,family:treatment,metabolism_per_area_mm2_measurement
family10 - family3,-0.011453509296265742,0.010347165067395381,117,-1.1069224489668699,0.9721377614546196,family:treatment,metabolism_per_area_mm2_measurement
family10 - family5,8.870263258654778e-5,0.010347165067395385,117,0.008572650770408191,1,family:treatment,metabolism_per_area_mm2_measurement
family10 - family6,0.017849158965479908,0.01758679886300489,117,1.0149180134781044,0.9837577459229243,family:treatment,metabolism_per_area_mm2_measurement
family10 - family7,-0.006262379580182028,0.011237455623675148,117,-0.5572773579624558,0.9997574021956708,family:treatment,metabolism_per_area_mm2_measurement
family10 - family8,-0.0011225575610016398,0.011947877074020438,117,-0.09395456230818931,0.9999999997947939,family:treatment,metabolism_per_area_mm2_measurement
family10 - family9,0.005120583221605841,0.010347165067395388,117,0.494877890538457,0.9999007920001798,family:treatment,metabolism_per_area_mm2_measurement
family2 - family3,-0.014978656987548326,0.010347165067395367,117,-1.4476097452767145,0.8766583027712884,family:treatment,metabolism_per_area_mm2_measurement
family2 - family5,-0.0034364450586960365,0.010347165067395376,117,-0.3321146455394347,0.9999954185943296,family:treatment,metabolism_per_area_mm2_measurement
family2 - family6,0.014324011274197324,0.017586798863004887,117,0.8144751859492136,0.9962389077905005,family:treatment,metabolism_per_area_mm2_measurement
family2 - family7,-0.009787527271464612,0.01123745562367514,117,-0.8709736081933165,0.9940512809856523,family:treatment,metabolism_per_area_mm2_measurement
family2 - family8,-0.004647705252284224,0.011947877074020426,117,-0.3889984156591498,0.9999843346759443,family:treatment,metabolism_per_area_mm2_measurement
family2 - family9,0.0015954355303232572,0.010347165067395374,117,0.15419059422861472,0.9999999893417681,family:treatment,metabolism_per_area_mm2_measurement
family3 - family5,0.011542211928852289,0.008448424899823137,117,1.3661969024656795,0.9081003272352928,family:treatment,metabolism_per_area_mm2_measurement
family3 - family6,0.02930266826174565,0.016541086802378323,117,1.7715080400601266,0.7005821564834116,family:treatment,metabolism_per_area_mm2_measurement
family3 - family7,0.005191129716083713,0.009518007525217264,117,0.5454008837805807,0.9997935246938258,family:treatment,metabolism_per_area_mm2_measurement
family3 - family8,0.010330951735264101,0.010347165067395388,117,0.9984330652864158,0.9853690809162972,family:treatment,metabolism_per_area_mm2_measurement
family3 - family9,0.016574092517871584,0.008448424899823139,117,1.9617967508024543,0.5727990956828453,family:treatment,metabolism_per_area_mm2_measurement
family5 - family6,0.01776045633289336,0.016541086802378327,117,1.0737176187443565,0.9768811655875599,family:treatment,metabolism_per_area_mm2_measurement
family5 - family7,-0.006351082212768576,0.009518007525217267,117,-0.667270139883988,0.9990850351515127,family:treatment,metabolism_per_area_mm2_measurement
family5 - family8,-0.0012112601935881876,0.010347165067395388,117,-0.11706203445086132,0.9999999988133004,family:treatment,metabolism_per_area_mm2_measurement
family5 - family9,0.005031880589019294,0.00844842489982314,117,0.5955998483367747,0.9996021574969112,family:treatment,metabolism_per_area_mm2_measurement
family6 - family7,-0.024111538545661938,0.017112104971801552,117,-1.4090340484349828,0.8922645812888376,family:treatment,metabolism_per_area_mm2_measurement
family6 - family8,-0.01897171652648155,0.017586798863004894,117,-1.0787475693709063,0.9762047058846701,family:treatment,metabolism_per_area_mm2_measurement
family6 - family9,-0.012728575743874067,0.016541086802378327,117,-0.7695126623749967,0.9974674652971558,family:treatment,metabolism_per_area_mm2_measurement
family7 - family8,0.005139822019180389,0.011237455623675152,117,0.45738307596532574,0.999945544018084,family:treatment,metabolism_per_area_mm2_measurement
family7 - family9,0.011382962801787869,0.00951800752521727,117,1.1959396724187847,0.9558991546004698,family:treatment,metabolism_per_area_mm2_measurement
family8 - family9,0.006243140782607482,0.010347165067395393,117,0.6033672742189099,0.9995621626372155,family:treatment,metabolism_per_area_mm2_measurement
family1 - family10,-8.510092675865087e-4,0.010347165067395369,117,-0.08224564526066155,0.9999999999291509,family,metabolism_per_area_mm2_measurement
family1 - family2,0.0026741384236960756,0.010347165067395364,117,0.2584416510491817,0.9999993603815642,family,metabolism_per_area_mm2_measurement
family1 - family3,-0.01230451856385225,0.008448424899823127,117,-1.4564275246276797,0.8729128398172838,family,metabolism_per_area_mm2_measurement
family1 - family5,-7.62306634999961e-4,0.008448424899823139,117,-0.09023062216199841,0.9999999998514304,family,metabolism_per_area_mm2_measurement
family1 - family6,0.0169981496978934,0.016541086802378323,117,1.027631974910461,0.9824245196364796,family,metabolism_per_area_mm2_measurement
family1 - family7,-0.007113388847768537,0.009518007525217276,117,-0.747361128778489,0.9979385385096731,family,metabolism_per_area_mm2_measurement
family1 - family8,-0.0019735668285881486,0.010347165067395388,117,-0.19073502894111452,0.9999999422020626,family,metabolism_per_area_mm2_measurement
