plate_ID,plate_well,is_blank,family_ID.group,sample_ID.group,treatment.group,exclude_from_analysis,exclude_reason,width_mm.measurement,length_mm.measurement,weight_mg.measurement,area_mm2.measurement,imageJ_ID
plate-A,A01,FALSE,7,1,,,,,,,537.864,2
plate-A,A02,FALSE,5,2,,,,,,,585.502,4
plate-A,A03,FALSE,1,3,,,,,,,713.266,1
plate-A,A04,FALSE,9,4,,,,,,,757.481,1
plate-A,A05,FALSE,7,5,,,,,,,822.542,1
plate-A,A06,FALSE,5,6,,,,,,,680.527,2
plate-A,A07,FALSE,1,7,,,,,,,348.031,3
plate-A,A08,FALSE,9,8,,,,,,,337.656,5
plate-A,A09,FALSE,7,9,,,,,,,548.788,4
plate-A,A10,FALSE,5,10,,,,,,,337.202,5
plate-A,A11,FALSE,1,11,,,,,,,486.344,4
plate-A,A12,FALSE,9,12,,,,,,,549.286,3
plate-A,B01,FALSE,7,13,,,,,,,609.834,9
plate-A,B02,FALSE,5,14,,,,,,,1497.761,1
plate-A,B03,FALSE,1,15,,,,,,,617.719,2
plate-A,B04,FALSE,9,16,,,,,,,444.111,4
plate-A,B05,FALSE,7,17,,,,,,,577.337,6
plate-A,B06,FALSE,5,18,,,,,,,570.507,3
plate-A,B07,FALSE,1,19,,,,,,,382.516,5
plate-A,B08,FALSE,9,20,,,,,,,1026.829,2
plate-A,B09,FALSE,7,21,,,,,,,504.986,5
plate-A,B10,FALSE,5,22,,,,,,,1199.943,9
plate-A,B11,FALSE,1,23,,,,,,,460.406,10
plate-A,B12,FALSE,9,24,,,,,,,187.493,10
plate-A,C01,FALSE,7,25,,,,,,,956.614,3
plate-A,C02,FALSE,5,26,,,,,,,848.654,7
plate-A,C03,FALSE,1,27,,,,,,,971.297,6
plate-A,C04,FALSE,9,28,,,,,,,319.988,9
plate-A,C05,FALSE,7,29,,,,,,,744.806,7
plate-A,C06,FALSE,5,30,,,,,,,849.49,8
plate-A,C07,FALSE,1,31,,,,,,,1116.156,7
plate-A,C08,FALSE,9,32,,,,,,,380.027,8
plate-A,C09,FALSE,7,33,,,,,,,595.1,8
plate-A,C10,FALSE,5,34,,,,,,,1678.501,6
plate-A,C11,FALSE,1,35,,,,,,,805.062,9
plate-A,C12,FALSE,9,36,,,,,,,550.387,7
plate-A,D01,FALSE,7,37,,,,,,,527.424,10
plate-A,D02,FALSE,5,38,,,,,,,455.74,10
plate-A,D03,FALSE,1,39,,,,,,,1076.625,8
plate-A,D04,FALSE,9,40,,,,,,,591.642,6
plate-A,D05,FALSE,7,41,,,,,,,861.6,11
plate-A,D06,FALSE,5,42,,,,,,,579.308,12
plate-A,D07,FALSE,1,43,,,,,,,748.875,12
plate-A,D08,FALSE,9,44,,,,,,,458.09,15
plate-A,D09,FALSE,7,45,,,,,,,985.197,12
plate-A,D10,FALSE,5,46,,,,,,,1001.644,14
plate-A,D11,FALSE,1,47,,,,,,,602.859,14
plate-A,D12,FALSE,9,48,,,,,,,784.503,14
plate-A,E01,FALSE,7,49,,,,,,,914.647,13
plate-A,E02,FALSE,5,50,,,,,,,729.337,15
plate-A,E03,FALSE,1,51,,,,,,,631.875,13
plate-A,E04,FALSE,9,52,,,,,,,611.228,12
plate-A,E05,FALSE,7,53,,,,,,,1083.76,14
plate-A,E06,FALSE,5,54,,,,,,,1028.912,11
plate-A,E07,FALSE,1,55,,,,,,,535.812,15
plate-A,E08,FALSE,9,56,,,,,,,693.62,13
plate-A,E09,FALSE,7,57,,,,,,,440.409,17
plate-A,E10,FALSE,5,58,,,,,,,1050.694,13
plate-A,E11,FALSE,1,59,,,,,,,1167.531,11
plate-A,E12,FALSE,9,60,,,,,,,1064.247,11
plate-A,F01,FALSE,7,61,,,,,,,1120.343,15
plate-A,F02,FALSE,5,62,,,,,,,1540.816,16
plate-A,F03,FALSE,1,63,,,,,,,553.266,17
plate-A,F04,FALSE,9,64,,,,,,,756.544,20
plate-A,F05,FALSE,7,65,,,,,,,999.931,16
plate-A,F06,FALSE,5,66,,,,,,,729.634,18
plate-A,F07,FALSE,1,67,,,,,,,276.656,18
plate-A,F08,FALSE,9,68,,,,,,,680.86,18
plate-A,F09,FALSE,7,69,,,,,,,597.109,19
plate-A,F10,FALSE,5,70,,,,,,,361.721,20
plate-A,F11,FALSE,1,71,,,,,,,768.953,16
plate-A,F12,FALSE,9,72,,,,,,,724.346,16
plate-A,G01,FALSE,7,73,,,,,,,709.782,20
plate-A,G02,FALSE,5,74,,,,,,,640.391,19
plate-A,G03,FALSE,1,75,,,,,,,437.688,19
plate-A,G04,FALSE,9,76,,,,,,,350.372,19
plate-A,G05,FALSE,7,77,,,,,,,518.023,18
plate-A,G06,FALSE,5,78,,,,,,,1108.121,17
plate-A,G07,FALSE,1,79,,,,,,,549.469,20
plate-A,G08,FALSE,9,80,,,,,,,499.881,17
plate-A,G09,TRUE,,B1,,,,,,,,
plate-A,G10,TRUE,,B2,,,,,,,,
plate-A,G11,TRUE,,B3,,,,,,,,
,G12,,,,,,,,,,,
,H01,,,,,,,,,,,
,H02,,,,,,,,,,,
,H03,,,,,,,,,,,
,H04,,,,,,,,,,,
,H05,,,,,,,,,,,
,H06,,,,,,,,,,,
,H07,,,,,,,,,,,
,H08,,,,,,,,,,,
,H09,,,,,,,,,,,
,H10,,,,,,,,,,,
,H11,,,,,,,,,,,
,H12,,,,,,,,,,,
plate-C,A01,FALSE,7,1,,,,,,,537.864,2
plate-C,A02,FALSE,5,2,,,,,,,585.502,4
plate-C,A03,FALSE,1,3,,,,,,,713.266,1
plate-C,A04,FALSE,9,4,,,,,,,757.481,1
plate-C,A05,FALSE,7,5,,,,,,,822.542,1
plate-C,A06,FALSE,5,6,,,,,,,680.527,2
plate-C,A07,FALSE,1,7,,,,,,,348.031,3
plate-C,A08,FALSE,9,8,,,,,,,337.656,5
plate-C,A09,FALSE,7,9,,,,,,,548.788,4
plate-C,A10,FALSE,5,10,,,,,,,337.202,5
plate-C,A11,FALSE,1,11,,,,,,,486.344,4
plate-C,A12,FALSE,9,12,,,,,,,549.286,3
plate-C,B01,FALSE,7,13,,,,,,,609.834,9
plate-C,B02,FALSE,5,14,,,,,,,1497.761,1
plate-C,B03,FALSE,1,15,,,,,,,617.719,2
plate-C,B04,FALSE,9,16,,,,,,,444.111,4
plate-C,B05,FALSE,7,17,,,,,,,577.337,6
plate-C,B06,FALSE,5,18,,,,,,,570.507,3
plate-C,B07,FALSE,1,19,,,,,,,382.516,5
