imageJ_ID,Area,sample_ID.group
1,822.542,5
2,537.864,1
3,956.614,25
4,548.788,9
5,504.986,21
6,577.337,17
7,744.806,29
8,595.1,33
9,609.834,13
10,527.424,37
11,861.6,41
12,985.197,45
13,914.647,49
14,1083.76,53
15,1120.343,61
16,999.931,65
17,440.409,57
18,518.023,77
19,597.109,69
20,709.782,73
