Sample_ID,Weight (mg)
0.0A,16.3
0.0B,21.4
0.0C,21.9
6.0A,11.5
6.0B,14.0
6.0C,26.9
6.2A,15.6
6.2B,20.7
6.2C,17.0
6.7A,9.2
6.7B,41.1
6.7C,5.3
18.0A,19.3
18.0B,12.0
18.0C,21.0
18.2A,21.9
18.2B,20.4
18.2C,21.4
18.7A,12.3
18.7B,20.3
18.7C,14.5
24.0A,21.6
24.0B,17.4
24.0C,15.6
24.2A,12.8
24.2B,23.6
24.2C,0.0
24.7A,19.5
24.7B,10.3
24.7C,22.9
48.0A,15.6
48.0B,16.8
48.0C,14.6
48.2A,26.7
48.2B,33.7
48.2C,22.0
48.7A,25.4
48.7B,9.2
48.7C,12.4
