plate_ID,weight(mg)
A01,25
A02,50
A03,14
A04,21
A05,24
A06,25
A07,17
A08,12
B01,20
B02,31
B03,15
B04,28
B05,27
B06,35
B07,17
B08,31
C01,23
C02,16
C03,15
C04,24
C05,10
C06,19
C07,35
C08,35
D01,25
D02,22
D03,40
D04,23
D05,20
D06,28
D07,23
D08,25
E01,26
E02,9
E03,25
E04,31
E05,17
E06,7
E07,11
