SampleID,Weight (mg)
0.0A**,16.6
0.0B**,10.4
0.0C**,12.0
0.0D**,17.3
0.0E**,19.1
0.0F**,17.3
0.0G**,14.4
0.0H**,15.5
0.0I**,13.3
0.0J**,17.2
48.0A**,21.8
48.0B**,26.0
48.0C**,8.8
48.0D**,11.9
48.0E**,19.8
48.0F**,25.5
48.0G**,10.8
48.0H**,17.8
48.0I**,24.5
48.0J**,14.9
48.2A**,20.8
48.2B**,18.5
48.2C**,22.5
48.2D**,10.6
48.2E**,20.0
48.2F**,18.7
48.2G**,12.1
48.2H**,10.7
48.2I**,15.4
48.2J**,7.1
48.7A**,19.2
48.7B**,10.0
48.7C**,22.1
48.7D**,11.9
48.7E**,15.5
48.7F**,15.7
48.7G**,12.8
48.7H**,12.3
48.7I**,5.5
48.7J**,13.8
