SampleID,Weight (mg)
0.0A,17.5
0.0B,18.0
0.0C,17.0
0.0D,19.4
0.0E,16.9
0.0F,23.1
0.0G,23.2
0.0H,13.1
0.0I,14.2
0.0J,9.4
48.0A,11.9
48.0B,18.6
48.0C,21.6
48.0D,8.4
48.0E,16.5
48.0F,16.0
48.0G,13.1
48.0H,12.1
48.0I,21.2
48.0J,14.5
48.2A,12.2
48.2B,10.5
48.2C,12.9
48.2D,25.8
48.2E,19.9
48.2F,14.1
48.2G,16.4
48.2H,20.1
48.2I,9.9
48.2J,9.1
48.7A,15.3
48.7B,13.5
48.7C,17.2
48.7D,7.5
48.7E,11.7
48.7F,6.6
48.7G,22.4
48.7H,17.3
48.7I,9.3
48.7J,15.1
