SampleID,Weight (mg)
N0.A,10.6
N0.B,17.3
N0.C,5.7
H0.A,9.8
H0.B,16.0
H0.C,22.9
HH.A,9.3
HH.B,14.0
HH.E,2.8
HH.F,8.7
NH.A,13.2
NH.C,8.2
NH.D,11.1
NH.F,10.8
HN.A,6.3
HN.B,8.1
HN.C,9.3
HN.D,12.8
NN.A,10.3
NN.B,11.1
NN.D,13.9
NN.E,20.3
NN.F,15.6
