412

Time,0:00:00,0:02:00,0:04:00,0:06:00,0:08:00,0:10:00,0:12:00,0:14:00,0:16:00,0:18:00,0:20:00,
T° 412,25.1,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,
A1,0.114,0.120,0.127,0.134,0.141,0.147,0.154,0.161,0.167,0.173,0.180,
A2,0.115,0.122,0.128,0.135,0.142,0.148,0.155,0.162,0.169,0.175,0.182,
A3,0.115,0.121,0.128,0.135,0.142,0.149,0.155,0.162,0.169,0.175,0.181,
A4,0.147,0.163,0.178,0.192,0.206,0.218,0.229,0.239,0.248,0.256,0.263,
A5,0.148,0.164,0.180,0.194,0.209,0.222,0.233,0.244,0.253,0.261,0.268,
A6,0.146,0.162,0.177,0.191,0.205,0.218,0.229,0.239,0.248,0.256,0.263,
A7,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,
A8,0.140,0.155,0.169,0.182,0.195,0.208,0.219,0.230,0.240,0.249,0.257,
A9,0.147,0.163,0.178,0.193,0.207,0.220,0.231,0.242,0.251,0.259,0.267,
A10,0.126,0.136,0.145,0.155,0.165,0.175,0.184,0.194,0.202,0.211,0.220,
A11,0.126,0.135,0.145,0.155,0.165,0.175,0.184,0.194,0.203,0.211,0.220,
A12,0.126,0.136,0.146,0.156,0.166,0.175,0.185,0.194,0.203,0.212,0.221,
B1,0.140,0.153,0.166,0.179,0.192,0.204,0.215,0.226,0.236,0.245,0.253,
B2,0.142,0.156,0.170,0.183,0.195,0.208,0.219,0.230,0.240,0.250,0.258,
B3,0.141,0.155,0.168,0.180,0.193,0.205,0.216,0.227,0.237,0.246,0.254,
B4,0.151,0.167,0.181,0.195,0.208,0.221,0.233,0.244,0.253,0.261,0.269,
B5,0.153,0.169,0.184,0.198,0.212,0.225,0.237,0.248,0.257,0.266,0.274,
B6,0.149,0.164,0.178,0.193,0.206,0.219,0.231,0.242,0.251,0.261,0.268,
B7,0.159,0.177,0.194,0.210,0.224,0.237,0.247,0.257,0.264,0.270,0.277,
B8,0.159,0.177,0.194,0.210,0.225,0.237,0.248,0.258,0.265,0.272,0.279,
B9,0.161,0.179,0.196,0.212,0.227,0.240,0.251,0.260,0.268,0.275,0.281,
B10,0.129,0.138,0.148,0.158,0.168,0.177,0.187,0.196,0.205,0.214,0.224,
B11,0.128,0.138,0.148,0.157,0.167,0.177,0.186,0.196,0.204,0.213,0.222,
B12,0.128,0.138,0.148,0.158,0.167,0.177,0.187,0.197,0.205,0.214,0.223,
C1,0.125,0.135,0.144,0.154,0.164,0.174,0.183,0.192,0.201,0.209,0.218,
C2,0.132,0.142,0.151,0.161,0.172,0.181,0.191,0.201,0.210,0.219,0.228,
C3,0.131,0.141,0.150,0.160,0.170,0.180,0.189,0.199,0.208,0.217,0.226,
C4,0.150,0.166,0.181,0.195,0.209,0.222,0.234,0.246,0.256,0.265,0.273,
C5,0.148,0.164,0.179,0.194,0.208,0.222,0.234,0.246,0.256,0.265,0.274,
C6,0.152,0.168,0.183,0.198,0.213,0.226,0.238,0.250,0.260,0.269,0.277,
C7,0.156,0.174,0.191,0.207,0.223,0.236,0.248,0.258,0.266,0.274,0.280,
C8,0.157,0.175,0.193,0.209,0.225,0.238,0.249,0.260,0.268,0.275,0.282,
C9,0.153,0.170,0.186,0.202,0.217,0.230,0.242,0.252,0.261,0.269,0.277,
C10,0.161,0.179,0.197,0.213,0.228,0.241,0.252,0.261,0.269,0.275,0.281,
C11,0.158,0.177,0.195,0.211,0.226,0.239,0.250,0.259,0.266,0.273,0.279,
C12,0.159,0.178,0.196,0.213,0.228,0.242,0.253,0.262,0.270,0.277,0.283,
D1,0.121,0.130,0.138,0.147,0.156,0.165,0.173,0.181,0.190,0.198,0.206,
D2,0.123,0.132,0.141,0.149,0.158,0.167,0.175,0.184,0.193,0.201,0.209,
D3,0.124,0.132,0.141,0.149,0.158,0.167,0.175,0.184,0.192,0.200,0.208,
D4,0.120,0.127,0.134,0.140,0.147,0.155,0.162,0.169,0.176,0.183,0.190,
D5,0.122,0.129,0.136,0.143,0.151,0.159,0.166,0.173,0.180,0.187,0.194,
D6,0.120,0.126,0.133,0.140,0.147,0.155,0.162,0.169,0.176,0.183,0.190,
D7,0.141,0.156,0.170,0.184,0.198,0.211,0.223,0.234,0.244,0.254,0.262,
D8,0.145,0.159,0.173,0.187,0.201,0.214,0.226,0.237,0.248,0.257,0.266,
D9,0.141,0.155,0.170,0.184,0.197,0.210,0.222,0.233,0.243,0.252,0.261,
D10,0.118,0.125,0.132,0.139,0.146,0.154,0.161,0.168,0.175,0.182,0.189,
D11,0.117,0.124,0.131,0.138,0.145,0.153,0.160,0.167,0.174,0.181,0.188,
D12,0.115,0.122,0.129,0.136,0.143,0.151,0.158,0.165,0.172,0.179,0.186,
E4,0.364,0.363,0.362,0.362,0.361,0.361,0.361,0.361,0.360,0.360,0.360,
E5,0.373,0.372,0.372,0.371,0.371,0.370,0.370,0.370,0.369,0.369,0.369,
E6,0.373,0.372,0.372,0.371,0.371,0.371,0.370,0.370,0.370,0.370,0.370,
E7,0.636,0.635,0.635,0.634,0.633,0.633,0.632,0.631,0.630,0.630,0.629,
E8,0.627,0.626,0.625,0.624,0.624,0.623,0.623,0.622,0.621,0.621,0.620,
E9,0.617,0.616,0.616,0.615,0.615,0.614,0.614,0.613,0.613,0.612,0.612,
E10,0.849,0.847,0.846,0.844,0.843,0.842,0.840,0.839,0.838,0.837,0.836,
E11,0.854,0.852,0.851,0.850,0.849,0.848,0.847,0.846,0.845,0.844,0.843,
E12,0.856,0.854,0.853,0.851,0.850,0.849,0.847,0.846,0.845,0.844,0.843,
F1,1.107,1.103,1.099,1.096,1.093,1.090,1.088,1.085,1.082,1.080,1.078,
F2,1.118,1.116,1.113,1.111,1.109,1.108,1.106,1.105,1.103,1.101,1.100,
F3,1.098,1.096,1.094,1.092,1.090,1.088,1.087,1.085,1.083,1.082,1.080,
F4,1.370,1.367,1.364,1.361,1.358,1.356,1.353,1.351,1.348,1.345,1.343,
F5,1.367,1.363,1.361,1.358,1.355,1.353,1.351,1.349,1.347,1.345,1.343,
F6,1.360,1.356,1.353,1.350,1.347,1.345,1.342,1.340,1.338,1.335,1.333,
F7,0.240,0.245,0.250,0.255,0.260,0.266,0.271,0.277,0.283,0.288,0.295,
F8,0.244,0.249,0.253,0.259,0.264,0.270,0.275,0.281,0.287,0.292,0.298,
F9,0.242,0.246,0.251,0.256,0.262,0.268,0.273,0.279,0.285,0.291,0.297,

