412

Time,0:00:00,0:02:00,0:04:00,0:06:00,0:08:00,0:10:00,0:12:00,0:14:00,0:16:00,0:18:00,0:20:00,0:22:00,0:24:00,0:26:00,0:28:00,0:30:00,0:32:00,0:34:00,0:36:00,0:38:00,0:40:00,
B4,0.322,0.350,0.366,0.373,0.372,0.371,0.368,0.366,0.366,0.365,0.363,0.363,0.361,0.361,0.361,0.361,0.362,0.364,0.366,0.369,0.372,
B5,0.841,0.870,0.868,0.878,0.878,0.875,0.873,0.872,0.869,0.867,0.864,0.857,0.847,0.833,0.817,0.800,0.780,0.760,0.737,0.715,0.696,
B6,0.169,0.196,0.217,0.231,0.239,0.244,0.249,0.254,0.259,0.265,0.270,0.275,0.280,0.285,0.290,0.295,0.300,0.305,0.310,0.315,0.319,
B7,0.161,0.188,0.210,0.227,0.237,0.244,0.249,0.254,0.259,0.263,0.268,0.273,0.277,0.282,0.287,0.291,0.296,0.300,0.304,0.309,0.313,
B8,0.149,0.172,0.192,0.206,0.216,0.223,0.229,0.233,0.238,0.243,0.248,0.253,0.257,0.262,0.268,0.272,0.278,0.282,0.287,0.292,0.297,
B9,0.147,0.171,0.192,0.207,0.217,0.224,0.229,0.234,0.239,0.244,0.248,0.253,0.258,0.262,0.267,0.272,0.276,0.281,0.286,0.290,0.295,
C1,0.057,0.058,0.058,0.058,0.058,0.059,0.059,0.059,0.060,0.060,0.061,0.061,0.062,0.062,0.063,0.063,0.063,0.064,0.061,0.057,0.057,
C2,0.405,0.407,0.394,0.406,0.418,0.434,0.446,0.463,0.476,0.492,0.508,0.520,0.533,0.552,0.580,0.607,0.621,0.637,0.655,0.674,0.691,
C3,0.051,0.051,0.051,0.051,0.051,0.051,0.052,0.052,0.052,0.053,0.053,0.054,0.054,0.054,0.054,0.054,0.055,0.055,0.060,0.060,0.060,
C4,0.055,0.055,0.056,0.056,0.056,0.056,0.057,0.057,0.057,0.057,0.058,0.057,0.058,0.058,0.058,0.058,0.059,0.058,0.059,0.059,0.059,
C5,0.812,0.813,0.796,0.794,0.788,0.779,0.766,0.750,0.731,0.709,0.686,0.664,0.641,0.618,0.595,0.574,0.553,0.529,0.493,0.469,0.453,
C6,0.051,0.051,0.051,0.051,0.050,0.049,0.049,0.049,0.048,0.048,0.054,0.054,0.053,0.053,0.053,0.053,0.054,0.053,0.054,0.054,0.054,
C7,0.748,0.709,0.666,0.626,0.594,0.566,0.543,0.517,0.498,0.478,0.462,0.447,0.433,0.419,0.408,0.394,0.384,0.373,0.363,0.352,0.342,
C8,0.059,0.057,0.058,0.059,0.059,0.060,0.061,0.062,0.063,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.065,
C9,0.050,0.049,0.048,0.048,0.048,0.048,0.048,0.049,0.049,0.049,0.050,0.051,0.051,0.052,0.053,0.054,0.054,0.055,0.056,0.056,0.057,
D1,0.237,0.225,0.213,0.199,0.187,0.175,0.166,0.157,0.149,0.141,0.133,0.125,0.117,0.110,0.103,0.097,0.091,0.087,0.084,0.082,0.079,
D2,0.097,0.096,0.094,0.091,0.089,0.086,0.083,0.080,0.075,0.072,0.069,0.067,0.064,0.062,0.061,0.060,0.060,0.059,0.059,0.060,0.060,
D3,0.053,0.054,0.053,0.054,0.054,0.054,0.055,0.055,0.056,0.056,0.056,0.056,0.057,0.057,0.057,0.058,0.058,0.058,0.058,0.058,0.058,
D4,0.301,0.297,0.272,0.226,0.199,0.177,0.159,0.145,0.132,0.122,0.114,0.107,0.101,0.096,0.092,0.089,0.086,0.083,0.081,0.079,0.077,
D5,0.817,0.802,0.787,0.771,0.755,0.732,0.709,0.681,0.655,0.631,0.605,0.582,0.559,0.537,0.517,0.499,0.478,0.462,0.443,0.428,0.409,
D6,0.063,0.062,0.061,0.060,0.060,0.060,0.060,0.060,0.061,0.062,0.062,0.063,0.064,0.064,0.065,0.066,0.067,0.068,0.068,0.069,0.070,
D7,0.070,0.070,0.070,0.071,0.071,0.071,0.071,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.073,0.073,
D8,0.061,0.062,0.062,0.063,0.063,0.063,0.064,0.064,0.065,0.065,0.065,0.065,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.067,0.067,
D9,0.058,0.059,0.060,0.061,0.062,0.063,0.064,0.065,0.065,0.065,0.065,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,
E1,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,
E2,0.871,0.858,0.857,0.861,0.860,0.859,0.852,0.839,0.815,0.787,0.755,0.717,0.680,0.641,0.602,0.563,0.528,0.497,0.469,0.444,0.418,
E3,0.095,0.095,0.095,0.095,0.095,0.095,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.097,0.097,0.097,0.097,0.097,0.098,0.098,0.099,
E4,0.406,0.404,0.402,0.400,0.398,0.396,0.394,0.393,0.391,0.389,0.388,0.386,0.384,0.382,0.381,0.379,0.378,0.376,0.374,0.373,0.372,
E5,0.421,0.420,0.416,0.413,0.411,0.408,0.406,0.405,0.403,0.401,0.399,0.399,0.398,0.395,0.392,0.391,0.389,0.388,0.386,0.385,0.384,
E6,1.222,1.205,1.189,1.172,1.141,0.940,0.895,0.852,0.808,0.766,0.721,0.679,0.645,0.615,0.587,0.562,0.539,0.522,0.506,0.494,0.483,
E7,1.349,1.337,1.322,1.309,1.294,1.278,1.260,1.240,1.220,1.199,1.177,1.152,1.129,1.107,1.087,1.067,1.049,1.029,1.011,0.994,1.099,
E8,0.777,0.771,0.764,0.757,0.751,0.745,0.739,0.733,0.727,0.721,0.716,0.711,0.707,0.702,0.697,0.692,0.686,0.680,0.675,0.670,0.666,
E9,1.167,1.162,1.149,1.137,1.123,1.109,1.094,1.075,1.060,1.045,1.030,1.011,0.992,0.974,0.957,0.936,0.917,0.896,0.878,0.858,0.841,
F1,2.052,2.032,2.010,1.984,1.958,1.928,1.898,1.868,1.835,1.803,1.770,1.746,1.733,1.800,1.764,1.728,1.697,1.663,1.634,1.602,1.572,
F2,2.135,2.115,2.090,2.061,2.036,2.013,1.979,1.926,1.886,1.843,1.803,1.773,1.742,1.715,1.690,1.662,1.639,1.613,1.587,1.565,1.542,
F3,1.695,1.670,1.649,1.628,1.605,1.581,1.557,1.534,1.513,1.494,1.475,1.458,1.441,1.426,1.411,1.396,1.382,1.368,1.355,1.342,1.329,
F4,2.189,2.171,2.149,2.128,2.107,2.089,2.065,2.043,2.018,1.994,1.971,1.946,1.922,1.896,1.870,1.846,1.823,1.799,1.778,1.757,1.737,
F5,1.929,1.913,1.899,1.882,1.859,1.843,1.826,1.810,1.795,1.779,1.764,1.747,1.732,1.716,1.700,1.684,1.667,1.653,1.640,1.627,1.614,
F6,2.101,2.083,2.063,2.044,2.025,2.004,1.986,1.968,1.949,1.931,1.912,1.894,1.876,1.857,1.839,1.822,1.804,1.787,1.770,1.754,1.738,
F7,0.229,0.232,0.236,0.239,0.243,0.248,0.252,0.257,0.261,0.266,0.269,0.275,0.280,0.285,0.288,0.294,0.299,0.305,0.311,0.316,0.322,
F8,0.236,0.239,0.242,0.246,0.250,0.253,0.258,0.263,0.268,0.273,0.279,0.284,0.289,0.295,0.301,0.306,0.312,0.318,0.323,0.329,0.335,
F9,0.216,0.220,0.224,0.229,0.234,0.238,0.244,0.249,0.255,0.260,0.265,0.271,0.276,0.282,0.287,0.293,0.298,0.303,0.309,0.314,0.320,

