,1,2,3,4,5,6,7,8,9,10,11,12
A,F07_01_ambient-citrate_synthase-7.3-df.0,F07_01_ambient-citrate_synthase-7.3-df.0,F07_01_ambient-citrate_synthase-7.3-df.0,F07_02_ambient-citrate_synthase-19.4-df.0,F07_02_ambient-citrate_synthase-19.4-df.0,F07_02_ambient-citrate_synthase-19.4-df.0,F07_03_ambient-citrate_synthase-19.7-df.0,F07_03_ambient-citrate_synthase-19.7-df.0,F07_03_ambient-citrate_synthase-19.7-df.0,F07_04_ambient-citrate_synthase-10.7-df.0,F07_04_ambient-citrate_synthase-10.7-df.0,F07_04_ambient-citrate_synthase-10.7-df.0,Name
B,F07_05_ambient-citrate_synthase-8.3-df.0,F07_05_ambient-citrate_synthase-8.3-df.0,F07_05_ambient-citrate_synthase-8.3-df.0,F07_06_ambient-citrate_synthase-12.8-df.0,F07_06_ambient-citrate_synthase-12.8-df.0,F07_06_ambient-citrate_synthase-12.8-df.0,F07_07_ambient-citrate_synthase-20.6-df.0,F07_07_ambient-citrate_synthase-20.6-df.0,F07_07_ambient-citrate_synthase-20.6-df.0,F07_08_ambient-citrate_synthase-10.9-df.0,F07_08_ambient-citrate_synthase-10.9-df.0,F07_08_ambient-citrate_synthase-10.9-df.0,Name
C,F07_01_36C-citrate_synthase-9.0-df.0,F07_01_36C-citrate_synthase-9.0-df.0,F07_01_36C-citrate_synthase-9.0-df.0,F07_02_36C-citrate_synthase-9.5-df.0,F07_02_36C-citrate_synthase-9.5-df.0,F07_02_36C-citrate_synthase-9.5-df.0,F07_03_36C-citrate_synthase-18.3-df.0,F07_03_36C-citrate_synthase-18.3-df.0,F07_03_36C-citrate_synthase-18.3-df.0,F07_04_36C-citrate_synthase-16.9-df.0,F07_04_36C-citrate_synthase-16.9-df.0,F07_04_36C-citrate_synthase-16.9-df.0,Name
D,F07_05_36C-citrate_synthase-10.5-df.0,F07_05_36C-citrate_synthase-10.5-df.0,F07_05_36C-citrate_synthase-10.5-df.0,F07_06_36C-citrate_synthase-9.7-df.0,F07_06_36C-citrate_synthase-9.7-df.0,F07_06_36C-citrate_synthase-9.7-df.0,F07_07_36C-citrate_synthase-12.5-df.0,F07_07_36C-citrate_synthase-12.5-df.0,F07_07_36C-citrate_synthase-12.5-df.0,F07_08_36C-citrate_synthase-9.1-df.0,F07_08_36C-citrate_synthase-9.1-df.0,F07_08_36C-citrate_synthase-9.1-df.0,Name
E,,,,STD-citrate_synthase-8,STD-citrate_synthase-8,STD-citrate_synthase-8,STD-citrate_synthase-16,STD-citrate_synthase-16,STD-citrate_synthase-16,STD-citrate_synthase-24,STD-citrate_synthase-24,STD-citrate_synthase-24,Name
F,STD-citrate_synthase-32,STD-citrate_synthase-32,STD-citrate_synthase-32,STD-citrate_synthase-40,STD-citrate_synthase-40,STD-citrate_synthase-40,POS-citrate_synthase,POS-citrate_synthase,POS-citrate_synthase,BG-citrate_synthase,BG-citrate_synthase,BG-citrate_synthase,Name
G,STD-citrate_synthase-0,STD-citrate_synthase-0,STD-citrate_synthase-0,,,,,,,,,,Name
H,,,,,,,,,,,,,Name

