,1,2,3,4,5,6,7,8,9,10,11,12
A,F05_01_36C-citrate_synthase-12.8-df.0,F05_01_36C-citrate_synthase-12.8-df.0,F05_01_36C-citrate_synthase-12.8-df.0,F05_02_36C-citrate_synthase-6.2-df.0,F05_02_36C-citrate_synthase-6.2-df.0,F05_02_36C-citrate_synthase-6.2-df.0,F05_03_36C-citrate_synthase-10.3-df.0,F05_03_36C-citrate_synthase-10.3-df.0,F05_03_36C-citrate_synthase-10.3-df.0,F05_04_36C-citrate_synthase-12.8-df.0,F05_04_36C-citrate_synthase-12.8-df.0,F05_04_36C-citrate_synthase-12.8-df.0,Name
B,F05_05_36C-citrate_synthase-22.7-df.0,F05_05_36C-citrate_synthase-22.7-df.0,F05_05_36C-citrate_synthase-22.7-df.0,F05_06_36C-citrate_synthase-18.4-df.0,F05_06_36C-citrate_synthase-18.4-df.0,F05_06_36C-citrate_synthase-18.4-df.0,F05_07_36C-citrate_synthase-11.3-df.0,F05_07_36C-citrate_synthase-11.3-df.0,F05_07_36C-citrate_synthase-11.3-df.0,F05_08_36C-citrate_synthase-13.8-df.0,F05_08_36C-citrate_synthase-13.8-df.0,F05_08_36C-citrate_synthase-13.8-df.0,Name
C,F05_01_36C_BG-citrate_synthase-12.8-df.0,F05_01_36C_BG-citrate_synthase-12.8-df.0,F05_01_36C_BG-citrate_synthase-12.8-df.0,F05_02_36C_BG-citrate_synthase-6.2-df.0,F05_02_36C_BG-citrate_synthase-6.2-df.0,F05_02_36C_BG-citrate_synthase-6.2-df.0,F05_03_36C_BG-citrate_synthase-10.3-df.0,F05_03_36C_BG-citrate_synthase-10.3-df.0,F05_03_36C_BG-citrate_synthase-10.3-df.0,F05_04_36C_BG-citrate_synthase-12.8-df.0,F05_04_36C_BG-citrate_synthase-12.8-df.0,F05_04_36C_BG-citrate_synthase-12.8-df.0,Name
D,F05_05_36C_BG-citrate_synthase-22.7-df.0,F05_05_36C_BG-citrate_synthase-22.7-df.0,F05_05_36C_BG-citrate_synthase-22.7-df.0,F05_06_36C_BG-citrate_synthase-18.4-df.0,F05_06_36C_BG-citrate_synthase-18.4-df.0,F05_06_36C_BG-citrate_synthase-18.4-df.0,F05_07_36C_BG-citrate_synthase-11.3-df.0,F05_07_36C_BG-citrate_synthase-11.3-df.0,F05_07_36C_BG-citrate_synthase-11.3-df.0,F05_08_36C_BG-citrate_synthase-13.8-df.0,F05_08_36C_BG-citrate_synthase-13.8-df.0,F05_08_36C_BG-citrate_synthase-13.8-df.0,Name
E,STD-citrate_synthase-0,STD-citrate_synthase-0,STD-citrate_synthase-0,STD-citrate_synthase-8,STD-citrate_synthase-8,STD-citrate_synthase-8,STD-citrate_synthase-16,STD-citrate_synthase-16,STD-citrate_synthase-16,STD-citrate_synthase-24,STD-citrate_synthase-24,STD-citrate_synthase-24,Name
F,STD-citrate_synthase-32,STD-citrate_synthase-32,STD-citrate_synthase-32,STD-citrate_synthase-40,STD-citrate_synthase-40,STD-citrate_synthase-40,POS-citrate_synthase,POS-citrate_synthase,POS-citrate_synthase,,,,Name
G,,,,,,,,,,,,,Name
H,,,,,,,,,,,,,Name

