"well","plate_row","plate_col","well_type","sample_id","label","std_nmol","source","od_first","od_last","od_max","net_change","frac_rising","max_step","typical_step","step_excess","glitch_at_min","step_ratio","flags"
"C1","C",1,"background","F05_01_ambient","F05_01_ambient_BG-citrate_synthase-10.1-df.0",NA,"absorbance_csv",0.057,0.057,0.064,0,0.35,-0.004,0,0.004,40,4,"decreasing"
"C2","C",2,"background","F05_01_ambient","F05_01_ambient_BG-citrate_synthase-10.1-df.0",NA,"absorbance_csv",0.405,0.691,0.691,0.286,0.95,0.0279999999999999,0.016,-0.0199999999999999,4,1.74999999999999,"BG-active"
"C5","C",5,"background","F05_02_ambient","F05_02_ambient_BG-citrate_synthase-17.5-df.0",NA,"absorbance_csv",0.812,0.453,0.813,-0.359,0.05,-0.036,0.021,0.0179999999999998,2,1.71428571428572,"decreasing BG-active"
"C7","C",7,"background","F05_03_ambient","F05_03_ambient_BG-citrate_synthase-22.3-df.0",NA,"absorbance_csv",0.748,0.342,0.748,-0.406,0,-0.0429999999999999,0.0155,-0.00500000000000006,14,2.77419354838709,"decreasing BG-active"
"C12","C",12,"background","F05_04_ambient","F05_04_ambient_BG-citrate_synthase-14.0-df.0",NA,"absorbance_csv",0.566,0.26,0.566,-0.306,0,-0.023,0.015,-0.00750000000000003,24,1.53333333333333,"decreasing BG-active"
"D1","D",1,"background","F05_05_ambient","F05_05_ambient_BG-citrate_synthase-11.5-df.0",NA,"absorbance_csv",0.237,0.079,0.237,-0.158,0,-0.014,0.008,-0.00199999999999997,6,1.75,"decreasing BG-active"
"D2","D",2,"background","F05_05_ambient","F05_05_ambient_BG-citrate_synthase-11.5-df.0",NA,"absorbance_csv",0.097,0.06,0.097,-0.037,0.05,-0.005,0.002,-0.002,16,2.5,"decreasing"
"D4","D",4,"background","F05_06_ambient","F05_06_ambient_BG-citrate_synthase-30.2-df.0",NA,"absorbance_csv",0.301,0.077,0.301,-0.224,0,-0.046,0.0065,0.021,2,7.07692307692308,"decreasing glitch BG-active"
"D5","D",5,"background","F05_06_ambient","F05_06_ambient_BG-citrate_synthase-30.2-df.0",NA,"absorbance_csv",0.817,0.409,0.817,-0.408,0,-0.0279999999999999,0.0205,0.00400000000000006,34,1.36585365853658,"decreasing BG-active"
"A6","A",6,"sample","F05_02_ambient","F05_02_ambient-citrate_synthase-17.5-df.0",NA,"absorbance_csv",0.287,0.328,0.336,0.041,0.35,0.038,0.003,0.04,30,12.6666666666667,"glitch"
"A12","A",12,"sample","F05_04_ambient","F05_04_ambient-citrate_synthase-14.0-df.0",NA,"absorbance_csv",0.671,0.331,0.671,-0.34,0.3,-0.042,0.019,-0.036,2,2.21052631578948,"decreasing glitch high-baseline"
"B1","B",1,"sample","F05_05_ambient","F05_05_ambient-citrate_synthase-11.5-df.0",NA,"absorbance_csv",0.65,0.968,1.08,0.318,0.65,0.044,0.0314999999999999,-0.035,4,1.3968253968254,"glitch high-baseline"
"B2","B",2,"sample","F05_05_ambient","F05_05_ambient-citrate_synthase-11.5-df.0",NA,"absorbance_csv",0.669,0.925,0.973,0.256,0.7,0.04,0.0145,-0.0405,4,2.75862068965517,"glitch high-baseline"
