imageJ_id,Area,individual_id
1,1018.793,148
2,1103.121,25
3,545.782,149
4,1030.418,142
5,1296.468,18
6,611.145,153
7,480.453,72
8,682.888,24
9,1089.54,145
10,862.654,141
