imageJ_id,Area,individual_id
1,65330,202
2,41204,203
3,39169,205
4,29885,201
5,44464,199
6,57455,207
7,50619,206
8,33929,204
9,16471,198
10,52110,184
11,39886,194
12,53932,192
13,42405,196
14,55134,195
15,36626,197
16,53950,191
17,44461,208
18,44014,209
19,30062,193
20,44114,210
