imageJ_id,Area,individual_id
1,925.867,16
2,1281.176,120
3,1183.718,65
4,853.94,58
5,996.196,37
6,723.896,23
7,577.74,114
8,670.318,109
9,962.545,103
10,529.98,66
11,977.463,68
12,804.625,52
13,831.882,182
14,621.45,150
15,944.28,151
16,593.234,186
17,514.806,178
18,466.471,49
19,580.83,117
20,245.639,179
