imageJ_id,Area,individual_id
1,688.203,56
2,1095.488,22
3,835.207,112
4,613.351,19
5,703.217,104
6,812.389,106
7,855.547,108
8,719.157,146
9,415.348,101
10,478.439,14
11,837.648,20
12,643.713,143
13,1556.287,152
14,780.658,43
15,991.901,173
