"sample_id","n_all","mean_all","sd_all","cv_all","n_usable","mean_usable","sd_usable","cv_usable","excluded_wells","fails_cv_all","fails_cv_usable"
"F07_01_36C",3,4.93333333333333,0.0577350269189634,1.17030459970872,3,4.93333333333333,0.0577350269189634,1.17030459970872,"-",FALSE,FALSE
"F07_01_ambient",3,3.43333333333333,0.0577350269189561,1.68160272579484,3,3.43333333333333,0.0577350269189561,1.68160272579484,"-",FALSE,FALSE
"F07_02_36C",3,7.48333333333334,0.125830573921179,1.68147760251019,3,7.48333333333334,0.125830573921179,1.68147760251019,"-",FALSE,FALSE
"F07_02_ambient",3,7.43333333333333,0.144337567297404,1.94176099503234,3,7.43333333333333,0.144337567297404,1.94176099503234,"-",FALSE,FALSE
"F07_03_36C",3,8.28333333333334,0.256580071972349,3.09754614051125,3,8.28333333333334,0.256580071972349,3.09754614051125,"-",FALSE,FALSE
"F07_03_ambient",3,4.78333333333333,4.15521760360794,86.8686607026051,2,7.175,0.459619407771258,6.40584540447746,"A7",TRUE,FALSE
"F07_04_36C",3,8.51666666666667,0.125830573921183,1.47746270748942,3,8.51666666666667,0.125830573921183,1.47746270748942,"-",FALSE,FALSE
"F07_04_ambient",3,4.96666666666667,0.0577350269189595,1.162450206422,3,4.96666666666667,0.0577350269189595,1.162450206422,"-",FALSE,FALSE
"F07_05_36C",3,4.36666666666667,0.0288675134594822,0.661088094491958,3,4.36666666666667,0.0288675134594822,0.661088094491958,"-",FALSE,FALSE
"F07_05_ambient",3,6.53333333333334,0.104083299973304,1.59311173428527,3,6.53333333333334,0.104083299973304,1.59311173428527,"-",FALSE,FALSE
"F07_06_36C",3,3.7,0.0866025403784434,2.34060919941739,3,3.7,0.0866025403784434,2.34060919941739,"-",FALSE,FALSE
"F07_06_ambient",3,7.2,0.132287565553234,1.83732729935048,3,7.2,0.132287565553234,1.83732729935048,"-",FALSE,FALSE
"F07_07_36C",3,7.05,0.0500000000000007,0.709219858156038,3,7.05,0.0500000000000007,0.709219858156038,"-",FALSE,FALSE
"F07_07_ambient",3,8.21666666666667,0.0577350269189567,0.702657528425436,3,8.21666666666667,0.0577350269189567,0.702657528425436,"-",FALSE,FALSE
"F07_08_36C",3,3.65,4.36248430810437e-15,1.19520118030257e-13,3,3.65,4.36248430810437e-15,1.19520118030257e-13,"-",FALSE,FALSE
"F07_08_ambient",3,4.88333333333334,0.0288675134594853,0.591143620330756,3,4.88333333333334,0.0288675134594853,0.591143620330756,"-",FALSE,FALSE
