experiment,value_metric,feature,family_id_group,n,mean,sd,se,median,iqr
01.00-resazurin-20260415-36C,corrected_fc,auc_early,1,20,2.5410112121496433,2.2304668001398995,0.4987475386669252,1.7868514583145478,3.6832015109739813
01.00-resazurin-20260415-36C,corrected_fc,auc_early,10,10,3.4203505200549116,3.6208002033250914,1.1449975594908062,1.7601380059137692,4.6036237967448495
01.00-resazurin-20260415-36C,corrected_fc,auc_early,2,10,2.8983800471752565,2.9844258642360764,0.9437583238902453,2.250944629406656,4.281692464281164
01.00-resazurin-20260415-36C,corrected_fc,auc_early,3,20,2.631227491596324,2.1469673140984797,0.4800764859794343,1.9462336183756341,2.6151698660561347
01.00-resazurin-20260415-36C,corrected_fc,auc_early,5,20,2.702967143461303,2.627116032261263,0.5874410032915715,1.9312725462202678,4.122705280271238
01.00-resazurin-20260415-36C,corrected_fc,auc_early,6,3,1.3029301439780727,1.1059776271742403,0.6385364807667513,0.9622045011172119,1.0658874420091236
01.00-resazurin-20260415-36C,corrected_fc,auc_early,7,13,3.8887761315053466,4.595810688225754,1.2746485452864156,1.5016734874749105,6.641232779047579
01.00-resazurin-20260415-36C,corrected_fc,auc_early,8,10,4.277797154657059,4.200679224047652,1.328371406773933,2.179903632624284,4.65201726707819
01.00-resazurin-20260415-36C,corrected_fc,auc_early,9,20,3.146953697459308,6.633921316196507,1.4833899020400265,0.7569618949736419,1.842124031537235
01.00-resazurin-20260415-36C,corrected_fc,auc_late,1,20,22.68414695645852,17.77562222874169,3.9747499645822733,15.34919031922728,34.80277427725764
01.00-resazurin-20260415-36C,corrected_fc,auc_late,10,10,18.227047952824663,17.579811231207522,5.559224432642472,10.288457774168126,34.104178764857245
01.00-resazurin-20260415-36C,corrected_fc,auc_late,2,10,26.329607257109632,16.2673156034749,5.144176872377717,28.12429410696015,27.03911442024586
01.00-resazurin-20260415-36C,corrected_fc,auc_late,3,20,24.383773926749786,15.331077505794983,3.428133147127551,26.524676390101984,27.4717143571456
01.00-resazurin-20260415-36C,corrected_fc,auc_late,5,20,21.686886211374638,14.415960382550361,3.223506737632648,22.831338765717334,26.23517709773499
01.00-resazurin-20260415-36C,corrected_fc,auc_late,6,3,10.472563696948084,6.0627397102574605,3.500324403743779,10.78834285937798,6.056568783953834
01.00-resazurin-20260415-36C,corrected_fc,auc_late,7,13,25.50423066502675,20.633608342142068,5.722733298110366,23.195580847137627,39.040330217785254
01.00-resazurin-20260415-36C,corrected_fc,auc_late,8,10,32.92343797273225,19.98588275946321,6.320091056899487,26.90345174915188,24.66730143793695
01.00-resazurin-20260415-36C,corrected_fc,auc_late,9,20,15.712254271956137,14.986012994910325,3.3509743768314695,6.302726241860528,24.94793291378441
01.00-resazurin-20260415-36C,corrected_fc,auc_total,1,20,25.225158168608164,19.707193935737262,4.406662528608014,17.92720127987643,39.517266880846194
01.00-resazurin-20260415-36C,corrected_fc,auc_total,10,10,21.647398472879573,21.055533399501446,6.658344289217259,11.935440095145491,38.690613948029366
01.00-resazurin-20260415-36C,corrected_fc,auc_total,2,10,29.22798730428489,18.497823331988855,5.849525348448976,32.052278479965594,28.959138890955593
01.00-resazurin-20260415-36C,corrected_fc,auc_total,3,20,27.015001418346106,17.148523161597478,3.834526350306157,28.78515144511107,29.775952671246866
01.00-resazurin-20260415-36C,corrected_fc,auc_total,5,20,24.389853354835942,16.65127253760373,3.7233377305957363,25.97354558218178,31.574495391806117
01.00-resazurin-20260415-36C,corrected_fc,auc_total,6,3,11.775493840926156,7.122488991632272,4.112170936619038,11.750547360495192,7.1224562259629565
01.00-resazurin-20260415-36C,corrected_fc,auc_total,7,13,29.393006796532095,24.787625216502985,6.874850285775822,24.150837730836486,48.231463646387375
01.00-resazurin-20260415-36C,corrected_fc,auc_total,8,10,37.20123512738931,23.745849876579697,7.509097058642004,28.86485471302519,29.30302215567572
01.00-resazurin-20260415-36C,corrected_fc,auc_total,9,20,18.859207969415444,19.28801142891791,4.3129304705853295,6.9998506397342215,27.20118394520814
01.00-resazurin-20260415-36C,corrected_fc,baseline_value,1,20,-0.019823788546255577,0.03522779669492402,0.007877174810739252,-0.0396475770925111,0.019823788546255522
01.00-resazurin-20260415-36C,corrected_fc,baseline_value,10,10,-0.007929515418502262,0.040947841545805316,0.012948844455241477,-0.0396475770925111,0.07929515418502209
01.00-resazurin-20260415-36C,corrected_fc,baseline_value,2,10,0.03964757709251099,0,0,0.03964757709251099,0
01.00-resazurin-20260415-36C,corrected_fc,baseline_value,3,20,-0.015859030837004472,0.037281595716604825,0.008336418233199337,-0.0396475770925111,0.07929515418502209
01.00-resazurin-20260415-36C,corrected_fc,baseline_value,5,20,-0.0396475770925111,0,0,-0.0396475770925111,0
01.00-resazurin-20260415-36C,corrected_fc,baseline_value,6,3,0.03964757709251099,0,0,0.03964757709251099,0
01.00-resazurin-20260415-36C,corrected_fc,baseline_value,7,13,-0.0396475770925111,0,0,-0.0396475770925111,0
01.00-resazurin-20260415-36C,corrected_fc,baseline_value,8,10,0.03964757709251099,0,0,0.03964757709251099,0
01.00-resazurin-20260415-36C,corrected_fc,baseline_value,9,20,-0.0396475770925111,0,0,-0.0396475770925111,0
01.00-resazurin-20260415-36C,corrected_fc,delta_auc_late_minus_early,1,20,20.143135744308875,15.922373023835503,3.560350844440506,12.771179358578124,31.48661194247921
01.00-resazurin-20260415-36C,corrected_fc,delta_auc_late_minus_early,10,10,14.806697432769749,14.176897662643174,4.483128676906982,8.641475453190761,26.43238621802629
01.00-resazurin-20260415-36C,corrected_fc,delta_auc_late_minus_early,2,10,23.431227209934377,14.314162264795197,4.5265355553987066,26.321883524020507,24.106263847331398
01.00-resazurin-20260415-36C,corrected_fc,delta_auc_late_minus_early,3,20,21.75254643515346,13.609958326503254,3.043279198900055,23.794233071688325,25.825340503250295
01.00-resazurin-20260415-36C,corrected_fc,delta_auc_late_minus_early,5,20,18.983919067913334,12.336062081348949,2.758427338855379,19.689131949252882,19.49553046990404
01.00-resazurin-20260415-36C,corrected_fc,delta_auc_late_minus_early,6,3,9.16963355297001,5.022962191412796,2.900008573341491,9.826138358260769,4.99068134194471
01.00-resazurin-20260415-36C,corrected_fc,delta_auc_late_minus_early,7,13,21.615454533521405,16.712515499589976,4.635217813519872,22.619076063188658,29.624578621581072
01.00-resazurin-20260415-36C,corrected_fc,delta_auc_late_minus_early,8,10,28.645640818075194,16.440713028200708,5.199009952631832,24.942048785278573,20.03158072019818
01.00-resazurin-20260415-36C,corrected_fc,delta_auc_late_minus_early,9,20,12.56530057449683,12.85113264051645,2.873600617206115,4.380936474603374,22.033658568383906
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,1,20,0.058891676843064976,0.11983668202235645,0.026796296720001597,0,0.007639422148576214
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,10,10,0.15044804842011342,0.19216935138339672,0.06076928468487629,0.08912657570141935,0.24186113507616896
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,2,10,0,0,0,0,0
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,3,20,0.00792951541850221,0.035461871008807266,0.007929515418502208,0,0
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,5,20,0.03217434953332817,0.08653962851234781,0.01935084921011887,0,0
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,6,3,0.12778853308574178,0.22133623192920124,0.12778853308574178,0,0.19168279962861268
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,7,13,0.04958210580060205,0.11890264515661342,0.03297766030003613,0,0
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,8,10,0,0,0,0,0
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,9,20,0.06462868244449536,0.13799400536273318,0.03085639764785419,0,0
01.00-resazurin-20260415-36C,corrected_fc,final_delta,1,20,8.704259150431524,7.268160892279119,1.6252101826541636,5.912098613909347,13.793074770418635
01.00-resazurin-20260415-36C,corrected_fc,final_delta,10,10,5.303096822974815,5.106484820794268,1.6148122870786643,3.1851755704729268,9.027429503814552
01.00-resazurin-20260415-36C,corrected_fc,final_delta,2,10,9.756513714749165,5.593991121169031,1.7689753153653092,9.813751132379853,7.958826370290759
01.00-resazurin-20260415-36C,corrected_fc,final_delta,3,20,9.417412734881104,5.8781440552220126,1.3143929689012697,10.21535886013817,9.517875248087458
01.00-resazurin-20260415-36C,corrected_fc,final_delta,5,20,7.623551959760821,4.71034758261072,1.0532657392369376,6.781425737503392,6.709133854476577
01.00-resazurin-20260415-36C,corrected_fc,final_delta,6,3,4.333986404905154,2.9226263592780737,1.6873791152698918,5.814898050446713,2.6261988423425895
01.00-resazurin-20260415-36C,corrected_fc,final_delta,7,13,9.68083648568252,7.690942447872192,2.1330836424958246,11.886413992649167,11.906535308883312
01.00-resazurin-20260415-36C,corrected_fc,final_delta,8,10,12.234540539839028,6.573840029831972,2.078830746785828,10.243972697278853,8.72505632524891
01.00-resazurin-20260415-36C,corrected_fc,final_delta,9,20,6.8002120323186475,7.3037885680302335,1.6331767731401448,2.669466857920081,11.465269267121277
01.00-resazurin-20260415-36C,corrected_fc,final_value,1,20,8.684435361885269,7.270247496705999,1.6256767615882293,5.912098613909347,13.77325098187238
01.00-resazurin-20260415-36C,corrected_fc,final_value,10,10,5.295167307556314,5.105645897114271,1.61454699611748,3.1851755704729268,8.94813434962953
01.00-resazurin-20260415-36C,corrected_fc,final_value,2,10,9.796161291841676,5.593991121169031,1.7689753153653092,9.853398709472364,7.958826370290758
01.00-resazurin-20260415-36C,corrected_fc,final_value,3,20,9.4015537040441,5.893570868583124,1.3178425092364345,10.17571128304566,9.517543203735176
01.00-resazurin-20260415-36C,corrected_fc,final_value,5,20,7.58390438266831,4.710347582610721,1.0532657392369378,6.741778160410881,6.709133854476577
01.00-resazurin-20260415-36C,corrected_fc,final_value,6,3,4.373633981997665,2.922626359278074,1.687379115269892,5.854545627539224,2.6261988423425895
01.00-resazurin-20260415-36C,corrected_fc,final_value,7,13,9.641188908590006,7.6909424478721915,2.1330836424958246,11.846766415556656,11.906535308883312
01.00-resazurin-20260415-36C,corrected_fc,final_value,8,10,12.274188116931539,6.57384002983197,2.078830746785827,10.283620274371364,8.72505632524891
01.00-resazurin-20260415-36C,corrected_fc,final_value,9,20,6.760564455226136,7.3037885680302335,1.6331767731401448,2.62981928082757,11.465269267121277
01.00-resazurin-20260415-36C,corrected_fc,inflection_time,1,20,4.525,1.4821304012521264,0.3314144328718794,4,2.375
01.00-resazurin-20260415-36C,corrected_fc,inflection_time,10,10,4.3,1.3165611772087666,0.41633319989322654,4,1.5
01.00-resazurin-20260415-36C,corrected_fc,inflection_time,2,10,4.35,1.5465014279549394,0.4890466917040403,4,3.125
01.00-resazurin-20260415-36C,corrected_fc,inflection_time,3,20,4.35,1.5052539565416234,0.3365850170227584,4,3.5
01.00-resazurin-20260415-36C,corrected_fc,inflection_time,5,20,4.325,1.3980719806783535,0.3126183986234571,4,2.375
01.00-resazurin-20260415-36C,corrected_fc,inflection_time,6,3,5.333333333333333,1.1547005383792517,0.6666666666666667,6,1
01.00-resazurin-20260415-36C,corrected_fc,inflection_time,7,13,4.730769230769231,1.522270571320254,0.4222018923096183,6,2
01.00-resazurin-20260415-36C,corrected_fc,inflection_time,8,10,3.65,1.4151953143569187,0.4475240527365851,3.25,1.5
01.00-resazurin-20260415-36C,corrected_fc,inflection_time,9,20,4.975,1.3714667522880672,0.30666928869969834,6,2
01.00-resazurin-20260415-36C,corrected_fc,initial_slope,1,20,0.9873927031641018,0.9885368477651131,0.22104355898661537,0.5167453645890012,1.213281409925274
01.00-resazurin-20260415-36C,corrected_fc,initial_slope,10,10,1.6942893248959077,1.817400133323969,0.5747123841197421,0.8786223614275913,1.8455174554442588
01.00-resazurin-20260415-36C,corrected_fc,initial_slope,2,10,0.9974804066669275,1.4602545544926797,0.461773035583133,0.1999722303613627,1.8344438724098984
01.00-resazurin-20260415-36C,corrected_fc,initial_slope,3,20,1.0605289879643116,1.0399094998738811,0.23253083321658072,0.6068497734143912,1.2226501772702107
01.00-resazurin-20260415-36C,corrected_fc,initial_slope,5,20,1.070354863537145,1.3090588633760538,0.2927144605057466,0.31792730017363813,1.8975164455154103
01.00-resazurin-20260415-36C,corrected_fc,initial_slope,6,3,0.5105093584036494,0.4713388176697313,0.27212759326113933,0.3877219144660607,0.45918701391781025
01.00-resazurin-20260415-36C,corrected_fc,initial_slope,7,13,1.9835368369618263,2.754853077218865,0.7640587712524903,0.4049491631110676,2.5980289615571674
01.00-resazurin-20260415-36C,corrected_fc,initial_slope,8,10,1.6083549746528965,2.3003442923792585,0.7274327366486768,0.2721920444364073,2.4565117039265862
01.00-resazurin-20260415-36C,corrected_fc,initial_slope,9,20,0.9307845062757049,1.4213996634525972,0.31783462706753307,0.26163151607610835,0.2599962539435273
01.00-resazurin-20260415-36C,corrected_fc,late_early_auc_ratio,1,20,10.749095495049826,8.15288759532369,1.8230410876058567,7.704424625600924,3.9409777747326915
01.00-resazurin-20260415-36C,corrected_fc,late_early_auc_ratio,10,10,5.6479847065872875,1.5946388658065858,0.5042690861376408,6.025978447421941,2.709555588954215
01.00-resazurin-20260415-36C,corrected_fc,late_early_auc_ratio,2,10,16.861420213882102,16.55592973549462,5.235444674587201,12.611483579026846,11.629579614587648
01.00-resazurin-20260415-36C,corrected_fc,late_early_auc_ratio,3,20,10.911695096931698,5.232902968547096,1.170112675733175,9.642388915583727,3.643786673625714
01.00-resazurin-20260415-36C,corrected_fc,late_early_auc_ratio,5,20,13.307273895255896,10.630306553776457,2.3770088075905678,9.70889069491636,8.234012816137183
01.00-resazurin-20260415-36C,corrected_fc,late_early_auc_ratio,6,3,9.370441074416828,2.5597720494245064,1.477885081799319,10.451761420046042,2.3823292546604833
01.00-resazurin-20260415-36C,corrected_fc,late_early_auc_ratio,7,13,10.97043295182158,9.62954163721965,2.670754317862377,8.186780541055166,1.7033407544100738
01.00-resazurin-20260415-36C,corrected_fc,late_early_auc_ratio,8,10,10.587618555007097,4.492497087989337,1.4206523179720176,10.135663779014507,6.711561754621941
01.00-resazurin-20260415-36C,corrected_fc,late_early_auc_ratio,9,20,10.248850827403933,7.153359383155313,1.5995397848221242,8.810056567429355,6.009839845569751
01.00-resazurin-20260415-36C,corrected_fc,metabolic_depression_index,1,20,0.04684808609595513,0.09460911221304046,0.0211552406199264,0,0.004270178929834703
01.00-resazurin-20260415-36C,corrected_fc,metabolic_depression_index,10,10,0.07403744578619291,0.10614257508476733,0.033565229398330454,0.011069574889337755,0.14280350838359318
01.00-resazurin-20260415-36C,corrected_fc,metabolic_depression_index,2,10,0,0,0,0,0
01.00-resazurin-20260415-36C,corrected_fc,metabolic_depression_index,3,20,0.008825113593989537,0.039467107810636164,0.008825113593989535,0,0
01.00-resazurin-20260415-36C,corrected_fc,metabolic_depression_index,5,20,0.02867953211945937,0.09507629888043645,0.021259706734574304,0,0
01.00-resazurin-20260415-36C,corrected_fc,metabolic_depression_index,6,3,0.0946093024627665,0.16386811873416288,0.0946093024627665,0,0.14191395369414975
01.00-resazurin-20260415-36C,corrected_fc,metabolic_depression_index,7,13,0.06242430343084606,0.18773300362617884,0.052067766974696526,0,0
01.00-resazurin-20260415-36C,corrected_fc,metabolic_depression_index,8,10,0,0,0,0,0
01.00-resazurin-20260415-36C,corrected_fc,metabolic_depression_index,9,20,0.08367942837899005,0.19894812947966428,0.04448615415129592,0,0
01.00-resazurin-20260415-36C,corrected_fc,metabolic_scope,1,20,8.76315082727459,7.2035071868359415,1.6107531746173442,5.912098613909347,13.73039612220948
01.00-resazurin-20260415-36C,corrected_fc,metabolic_scope,10,10,5.453544871394929,5.14416439137949,1.6267276135093027,3.314922875991158,9.126865498574444
01.00-resazurin-20260415-36C,corrected_fc,metabolic_scope,2,10,9.756513714749165,5.593991121169031,1.7689753153653092,9.813751132379853,7.958826370290759
