experiment,trace_id,family_id_group,treatment_group,round_group,cup_id_group,sample_id_group,value_metric,baseline_value,final_value,peak_value,trough_value,time_to_peak,time_to_trough,auc_total,auc_early,auc_late,delta_auc_late_minus_early,late_early_auc_ratio,initial_slope,vmax,time_to_vmax,min_slope,time_to_min_slope,inflection_time,metabolic_scope,final_delta,depression_abs,metabolic_depression_index,resilience_ratio,stability_cv,trajectory_class,n_timepoints
01.00-resazurin-20260415-36C,1,9,NA,NA,NA,1,corrected_fc,-0.0396475770925111,1.312485781059337,1.312485781059337,-0.0396475770925111,7,1,3.2310010823629987,0.33105278760177304,2.8999482947612254,2.5688955071594526,8.759776094227016,0.18304895452007197,0.3631148614644303,6,0.08565283034477056,4,6,1.3521333581518482,1.3521333581518482,0,0,1,1.0805873639455146,monotonic_increase,5
01.00-resazurin-20260415-36C,100,7,NA,NA,NA,100,corrected_fc,-0.0396475770925111,20.600199484664618,20.600199484664618,-0.0396475770925111,7,1,58.81974528763657,7.44493946194553,51.37480582569104,43.92986636374551,6.900634462951785,3.52432512306172,4.596491009336991,6,1.723523028472742,4,6,20.63984706175713,20.63984706175713,0,0,1,0.9161042425907322,monotonic_increase,5
01.00-resazurin-20260415-36C,101,3,NA,NA,NA,101,corrected_fc,0.03964757709251099,15.981474179271537,15.981474179271537,0.03964757709251099,7,1,44.967492272778614,4.755862932955444,40.21162933982317,35.455766406867724,8.455169946379087,2.1108345399094297,3.225976813201483,6,2.1108345399094297,1.5,6,15.941826602179026,15.941826602179026,0,0,1,0.9663965053660901,monotonic_increase,5
01.00-resazurin-20260415-36C,102,1,NA,NA,NA,102,corrected_fc,-0.0396475770925111,5.989994824390362,5.989994824390362,-0.0396475770925111,7,1,15.841182205531885,2.113990395031415,13.72719181050047,11.613201415469055,6.4934977201239725,1.1027653402662432,1.5960463758696228,6,0.32825461592161975,4,6,6.029642401482873,6.029642401482873,0,0,1,0.9550919792946634,monotonic_increase,5
01.00-resazurin-20260415-36C,103,5,NA,NA,NA,103,corrected_fc,-0.0396475770925111,12.573488717669704,12.573488717669704,-0.0396475770925111,7,1,41.076813451041644,2.7328945597931327,38.343918891248514,35.61102433145538,14.030515284186803,0.2278088819465165,4.940952782116761,2.5,0.2278088819465165,1.5,2.5,12.613136294762215,12.613136294762215,0,0,1,1.0204231741749226,monotonic_increase,5
01.00-resazurin-20260415-36C,104,9,NA,NA,NA,104,corrected_fc,-0.0396475770925111,6.3518935673408885,6.3518935673408885,-0.0396475770925111,7,1,29.35232821441805,5.551341289119708,23.800986925298343,18.249645636178634,4.287429953540568,2.7086323615040317,3.1353758020973634,2.5,0.00900289960770051,4,4,6.3915411444334,6.3915411444334,0,0,1,0.6658332680440644,monotonic_increase,5
01.00-resazurin-20260415-36C,105,3,NA,NA,NA,105,corrected_fc,-0.0396475770925111,10.006785301952387,10.006785301952387,-0.0396475770925111,7,1,27.66474867938158,2.598254010229552,25.06649466915203,22.468240658922475,9.647438075901377,1.09295347682226,2.076237898362369,2.5,1.09295347682226,1.5,2.5,10.046432879044898,10.046432879044898,0,0,1,1.0073967849956484,monotonic_increase,5
01.00-resazurin-20260415-36C,106,5,NA,NA,NA,106,corrected_fc,-0.0396475770925111,12.668649604770556,12.668649604770556,-0.0396475770925111,7,1,49.377996098038,8.762884863359426,40.615111234678565,31.85222637131914,4.634901846594382,4.362545958305571,4.596722160172185,2.5,0.29690000143807005,4,4,12.708297181863067,12.708297181863067,0,0,1,0.7023688490199842,monotonic_increase,5
01.00-resazurin-20260415-36C,107,3,NA,NA,NA,107,corrected_fc,-0.0396475770925111,10.868350207383363,10.868350207383363,-0.0396475770925111,7,1,39.05977342401525,4.7448263647371,34.31494705927815,29.570120694541046,7.232076460015931,2.0678813406497154,3.444599015895098,2.5,0.9407340855810604,6,4,10.907997784475874,10.907997784475874,0,0,1,0.8373508211884093,monotonic_increase,5
01.00-resazurin-20260415-36C,108,9,NA,NA,NA,108,corrected_fc,-0.0396475770925111,0.6174721619295924,0.9049254440605696,-0.0396475770925111,5,1,3.280041355749349,0.3974762718177266,2.882565083931622,2.4850888121138954,7.252168967845959,0.229326620516048,0.26556299045735354,2.5,-0.1437266410654886,6,6,0.9445730211530807,0.6571197390221035,0.2874532821309772,0.30432086847035994,0.682345894882654,0.8630889644511982,rise_then_depress,5
01.00-resazurin-20260415-36C,109,5,NA,NA,NA,109,corrected_fc,-0.0396475770925111,0.8054618667400881,0.9005105084434657,-0.0396475770925111,5,1,3.5420125504772395,0.4325205350587371,3.1094920154185024,2.6769714803597653,7.1892355700434605,0.2404873348017622,0.302169374082232,2.5,-0.047524320851688784,6,6,0.9401580855359768,0.8451094438325992,0.09504864170337757,0.10109857391609953,0.8944502692504174,0.8379124119587668,rise_then_depress,5
