experiment,value_metric,family_id_group,trajectory_class,n,prop
01.00-resazurin-20260415-36C,corrected_fc,1,monotonic_increase,15,0.75
01.00-resazurin-20260415-36C,corrected_fc,1,rise_then_depress,5,0.25
01.00-resazurin-20260415-36C,corrected_fc,10,monotonic_increase,5,0.5
01.00-resazurin-20260415-36C,corrected_fc,10,rise_then_depress,5,0.5
01.00-resazurin-20260415-36C,corrected_fc,2,depress_then_recover,1,0.1
01.00-resazurin-20260415-36C,corrected_fc,2,monotonic_increase,9,0.9
01.00-resazurin-20260415-36C,corrected_fc,3,monotonic_increase,19,0.95
01.00-resazurin-20260415-36C,corrected_fc,3,rise_then_depress,1,0.05
01.00-resazurin-20260415-36C,corrected_fc,5,monotonic_increase,17,0.85
01.00-resazurin-20260415-36C,corrected_fc,5,rise_then_depress,3,0.15
01.00-resazurin-20260415-36C,corrected_fc,6,monotonic_increase,2,0.6666666666666666
01.00-resazurin-20260415-36C,corrected_fc,6,rise_then_depress,1,0.3333333333333333
01.00-resazurin-20260415-36C,corrected_fc,7,monotonic_increase,10,0.7692307692307693
01.00-resazurin-20260415-36C,corrected_fc,7,rise_then_depress,3,0.23076923076923078
01.00-resazurin-20260415-36C,corrected_fc,8,monotonic_increase,10,1
01.00-resazurin-20260415-36C,corrected_fc,9,monotonic_increase,16,0.8
01.00-resazurin-20260415-36C,corrected_fc,9,rise_then_depress,4,0.2
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,1,monotonic_increase,15,0.75
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,1,rise_then_depress,5,0.25
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,10,monotonic_increase,5,0.5
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,10,rise_then_depress,5,0.5
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,2,depress_then_recover,1,0.1
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,2,monotonic_increase,9,0.9
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,3,monotonic_increase,19,0.95
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,3,rise_then_depress,1,0.05
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,5,monotonic_increase,17,0.85
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,5,rise_then_depress,3,0.15
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,6,monotonic_increase,2,0.6666666666666666
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,6,rise_then_depress,1,0.3333333333333333
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,7,monotonic_increase,10,0.7692307692307693
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,7,rise_then_depress,3,0.23076923076923078
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,8,monotonic_increase,10,1
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,9,monotonic_increase,16,0.8
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,9,rise_then_depress,4,0.2
01.00-resazurin-20260429-freshwater_stress,corrected_fc,1,monotonic_increase,8,0.7272727272727273
01.00-resazurin-20260429-freshwater_stress,corrected_fc,1,rise_then_depress,3,0.2727272727272727
01.00-resazurin-20260429-freshwater_stress,corrected_fc,10,monotonic_increase,9,0.8181818181818182
01.00-resazurin-20260429-freshwater_stress,corrected_fc,10,rise_then_depress,2,0.18181818181818182
01.00-resazurin-20260429-freshwater_stress,corrected_fc,3,monotonic_increase,5,0.45454545454545453
01.00-resazurin-20260429-freshwater_stress,corrected_fc,3,rise_then_depress,6,0.5454545454545454
01.00-resazurin-20260429-freshwater_stress,corrected_fc,5,monotonic_increase,11,1
01.00-resazurin-20260429-freshwater_stress,corrected_fc,6,monotonic_increase,8,0.7272727272727273
01.00-resazurin-20260429-freshwater_stress,corrected_fc,6,rise_then_depress,3,0.2727272727272727
01.00-resazurin-20260429-freshwater_stress,corrected_fc,7,monotonic_increase,10,0.9090909090909091
01.00-resazurin-20260429-freshwater_stress,corrected_fc,7,rise_then_depress,1,0.09090909090909091
01.00-resazurin-20260429-freshwater_stress,corrected_fc,8,monotonic_increase,10,0.9090909090909091
01.00-resazurin-20260429-freshwater_stress,corrected_fc,8,rise_then_depress,1,0.09090909090909091
01.00-resazurin-20260429-freshwater_stress,corrected_fc,9,monotonic_increase,8,0.7272727272727273
01.00-resazurin-20260429-freshwater_stress,corrected_fc,9,rise_then_depress,3,0.2727272727272727
01.00-resazurin-20260429-freshwater_stress,corrected_fc,9b,monotonic_increase,9,0.8181818181818182
01.00-resazurin-20260429-freshwater_stress,corrected_fc,9b,rise_then_depress,2,0.18181818181818182
01.00-resazurin-20260429-freshwater_stress,metabolism_per_area_mm2_measurement,1,monotonic_increase,8,0.7272727272727273
01.00-resazurin-20260429-freshwater_stress,metabolism_per_area_mm2_measurement,1,rise_then_depress,3,0.2727272727272727
01.00-resazurin-20260429-freshwater_stress,metabolism_per_area_mm2_measurement,10,monotonic_increase,9,0.8181818181818182
01.00-resazurin-20260429-freshwater_stress,metabolism_per_area_mm2_measurement,10,rise_then_depress,2,0.18181818181818182
01.00-resazurin-20260429-freshwater_stress,metabolism_per_area_mm2_measurement,3,monotonic_increase,5,0.45454545454545453
01.00-resazurin-20260429-freshwater_stress,metabolism_per_area_mm2_measurement,3,rise_then_depress,6,0.5454545454545454
01.00-resazurin-20260429-freshwater_stress,metabolism_per_area_mm2_measurement,5,monotonic_increase,11,1
01.00-resazurin-20260429-freshwater_stress,metabolism_per_area_mm2_measurement,6,monotonic_increase,8,0.7272727272727273
01.00-resazurin-20260429-freshwater_stress,metabolism_per_area_mm2_measurement,6,rise_then_depress,3,0.2727272727272727
01.00-resazurin-20260429-freshwater_stress,metabolism_per_area_mm2_measurement,7,monotonic_increase,10,0.9090909090909091
01.00-resazurin-20260429-freshwater_stress,metabolism_per_area_mm2_measurement,7,rise_then_depress,1,0.09090909090909091
01.00-resazurin-20260429-freshwater_stress,metabolism_per_area_mm2_measurement,8,monotonic_increase,10,0.9090909090909091
01.00-resazurin-20260429-freshwater_stress,metabolism_per_area_mm2_measurement,8,rise_then_depress,1,0.09090909090909091
01.00-resazurin-20260429-freshwater_stress,metabolism_per_area_mm2_measurement,9,monotonic_increase,8,0.7272727272727273
01.00-resazurin-20260429-freshwater_stress,metabolism_per_area_mm2_measurement,9,rise_then_depress,3,0.2727272727272727
