experiment,value_metric,feature,n,n_family,f_statistic,p_value,kruskal_p_value,eta_sq,omega_sq,max_abs_pairwise_d,p_adj_bh,rank_within_metric,rank_score
01.00-resazurin-20260415-36C,corrected_fc,trough_value,126,9,22.249846187659262,2.676968313957175e-20,4.3837127764770337e-13,0.6033881761683257,0.5743225547447499,3.35256926619011,5.889330290705785e-19,1,2
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,trough_value,126,9,11.082834330776926,1.4764211262543553e-11,3.1515649020752736e-7,0.43110727213255645,0.3903108037496435,2.712550601727246,3.2481264777595815e-10,1,2
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,126,9,2.5097048948926766,0.014885037900784031,0.019274583066502888,0.14646910526254478,0.08746991354060832,1.6867164124056975,0.16373541690862434,2,4
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,time_to_min_slope,126,9,2.5097048948926766,0.014885037900784031,0.019274583066502888,0.14646910526254478,0.08746991354060832,1.6867164124056975,0.16373541690862434,2,4
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,126,9,2.2417394621652353,0.02903118194045766,0.046888375398123114,0.1329088806519963,0.07307900788675359,1.3749437970753629,0.21289533423002283,3,6
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,126,9,2.070357509048353,0.0441205066566903,0.04759456764391253,0.1240079769436674,0.06363464679466913,1.2912830087153369,0.25363133758152484,3,6
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,126,9,2.0520561376470656,0.04611478865118634,0.052149916267963156,0.12304666487358762,0.06261472578286446,1.3552891317150904,0.25363133758152484,4,8
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,time_to_peak,126,9,2.0520561376470656,0.04611478865118634,0.052149916267963156,0.12304666487358762,0.06261472578286446,1.3552891317150904,0.25363133758152484,3,7
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,126,9,1.747186747386232,0.09467080940223813,0.03680772267984949,0.10671676144087257,0.04529176754967717,1.4217079265309165,0.4165515613698478,5,10
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,stability_cv,126,9,1.7471867473862315,0.09467080940223825,0.03680772267984949,0.10671676144087254,0.045291767549677134,1.4217079265309165,0.41655156136984833,5,9
01.00-resazurin-20260415-36C,corrected_fc,delta_auc_late_minus_early,126,9,1.634296228416386,0.12234085765756729,0.11112321127376158,0.10051457366033623,0.03871366945357613,1.3640126388447094,0.44098019857196097,6,12
01.00-resazurin-20260415-36C,corrected_fc,time_to_trough,126,9,1.496031746031738,0.16593326945042117,0.16996288666560602,0.09279999999999955,0.03053248656570543,1.140175425099139,0.44098019857196097,6,13
01.00-resazurin-20260415-36C,corrected_fc,auc_late,126,9,1.3326553457293848,0.2341456304926628,0.24731420293882359,0.08351197697010244,0.020684105863010897,1.3444622271502433,0.44098019857196097,6,14
01.00-resazurin-20260415-36C,corrected_fc,final_value,126,9,1.3086248548238602,0.24590184344222293,0.1926858967231577,0.0821297643660587,0.01921863531989491,1.2423812811440915,0.44098019857196097,6,15
01.00-resazurin-20260415-36C,corrected_fc,final_delta,126,9,1.2928925126198705,0.25385228129799836,0.19859005412155237,0.0812225934805661,0.01825683943150972,1.242900161794698,0.44098019857196097,6,16
01.00-resazurin-20260415-36C,corrected_fc,peak_value,126,9,1.2764463362486362,0.2623809716311598,0.20727172267115934,0.08027234185225486,0.017249384576502744,1.2293305421848206,0.44098019857196097,6,17
01.00-resazurin-20260415-36C,corrected_fc,late_early_auc_ratio,126,9,1.2703332587594451,0.26560823223136043,0.04256805686221232,0.07991863008341786,0.01687438422116686,1.3004023793100368,0.44098019857196097,6,18
01.00-resazurin-20260415-36C,corrected_fc,metabolic_scope,126,9,1.2606745826898518,0.2707708009518696,0.2079116842831537,0.07935920984202782,0.016281299163477068,1.2298302163899109,0.44098019857196097,6,19
01.00-resazurin-20260415-36C,corrected_fc,min_slope,126,9,1.2426325685843467,0.2806237627276115,0.17912425470714471,0.07831241133252494,0.015171521483021496,0.990664080892687,0.44098019857196097,6,20
01.00-resazurin-20260415-36C,corrected_fc,vmax,126,9,1.143256075139676,0.3398566765135815,0.3606239389840316,0.072503647181513,0.009013639147471995,1.1950805150628727,0.49845645888658613,15,22
01.00-resazurin-20260415-36C,corrected_fc,auc_total,126,9,1.0979895725052908,0.3696355648045196,0.32406583608081857,0.06983338425825451,0.006183091682196275,1.2975896781336222,0.5054880021668086,16,24
01.00-resazurin-20260415-36C,corrected_fc,time_to_vmax,126,9,1.0623780508851324,0.39427525572907307,0.29471599552940714,0.06772183646235194,0.003944887396721496,1.166781256104576,0.5054880021668086,16,25
01.00-resazurin-20260415-36C,corrected_fc,metabolic_depression_index,126,9,1.0312172082171074,0.4166888073383758,0.07164775910758411,0.06586630694391982,0.0019781242349831505,0.7845402021178074,0.5054880021668086,16,26
01.00-resazurin-20260415-36C,corrected_fc,resilience_ratio,126,9,1.0044490145561482,0.4365578200531528,0.07104995944060725,0.06426643790326046,2.823973438891779e-4,0.719925183224508,0.5054880021668086,16,27
01.00-resazurin-20260415-36C,corrected_fc,inflection_time,126,9,0.97034646934111,0.4626574122685563,0.4557099053807104,0.06222025725742702,0,1.1673570986888822,0.508923153495412,20,29
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,time_to_trough,126,9,1.496031746031738,0.16593326945042117,0.16996288666560602,0.09279999999999955,0.03053248656570543,1.140175425099139,0.5235420407080452,6,11
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,min_slope,126,9,1.4942287083867374,0.16658155840710528,0.18084952550796618,0.09269852394421944,0.03042487995330747,1.0681348638631565,0.5235420407080452,6,12
01.00-resazurin-20260415-36C,corrected_fc,initial_slope,126,9,0.834322969926042,0.5741985110197805,0.545629397503177,0.05396892034334887,0,0.9228064751337031,0.6015412972588177,21,31
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,late_early_auc_ratio,126,9,1.2703332587594465,0.2656082322313598,0.04256805686221232,0.07991863008341793,0.016874384221166938,1.3004023793100368,0.6135170443430226,8,14
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,126,9,1.0839945555550123,0.37919283129333126,0.26723419121565023,0.06900470629876757,0.005304697766587562,1.1513760111531282,0.6135170443430226,8,15
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,time_to_vmax,126,9,1.0623780508851324,0.39427525572907307,0.29471599552940714,0.06772183646235194,0.003944887396721496,1.166781256104576,0.6135170443430226,8,16
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,metabolic_depression_index,126,9,1.0312172082171074,0.4166888073383758,0.07164775910758411,0.06586630694391982,0.0019781242349831427,0.7845402021178072,0.6135170443430226,8,17
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,initial_slope,126,9,1.0192106031941168,0.4255318813811654,0.24772405725248411,0.06514937883705185,0.001218234931190895,1.0167152082910096,0.6135170443430226,8,18
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,resilience_ratio,126,9,1.0044490145561473,0.4365578200531532,0.07104995944060725,0.06426643790326042,2.823973438891238e-4,0.7199251832245079,0.6135170443430226,8,19
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,inflection_time,126,9,0.97034646934111,0.4626574122685563,0.4557099053807104,0.06222025725742702,0,1.1673570986888822,0.6135170443430226,8,20
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,auc_late,126,9,0.939994910813969,0.48658415636707153,0.3891155881572088,0.06039159769727236,0,1.13408249797117,0.6135170443430226,8,21
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,final_delta,126,9,0.909087353758303,0.5115709025059415,0.3755609816440638,0.058522096152520936,0,1.0642901577922936,0.6135170443430226,8,22
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,final_value,126,9,0.9053082720116394,0.5146661488128131,0.3759882525886278,0.05829300076696899,0,1.056186098616944,0.6135170443430226,8,23
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,metabolic_scope,126,9,0.8909269046356523,0.5265201546165303,0.4195929733373938,0.057420153504942874,0,1.0488331518780314,0.6135170443430226,8,24
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,peak_value,126,9,0.8869052443774509,0.5298556292053377,0.42228859077694303,0.05717577759823698,0,1.0406901252164567,0.6135170443430226,8,25
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,auc_total,126,9,0.8171793920954173,0.588906008940749,0.4843945462225017,0.052918656838925035,0,1.0968100483367413,0.6477966098348239,20,27
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,vmax,126,9,0.5330078917393002,0.8296211191453271,0.660477660220772,0.03516345258203586,0,0.8264034680035572,0.8691268867236761,21,29
01.00-resazurin-20260415-36C,corrected_fc,auc_early,126,9,0.38317262751383496,0.9277418810188339,0.628192653450979,0.02553093151469894,0,0.7665202109776169,0.9277418810188339,22,33
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,auc_early,126,9,0.3460517702333712,0.9459526232596691,0.797993269805295,0.023114726710211416,0,0.6653196493109471,0.9459526232596691,22,31
01.00-resazurin-20260429-freshwater_stress,corrected_fc,trough_value,99,9,6657517317965854e15,0,1.0935960442354406e-17,1,1,2266877917785107.5,0,1,2
01.00-resazurin-20260429-freshwater_stress,metabolism_per_area_mm2_measurement,trough_value,99,9,206.6911620126637,1.7661711285926553e-54,6.818828130928962e-17,0.9483805633772554,0.9432511679676311,12.675589209584993,3.7089593700445763e-53,1,2
