experiment,value_metric,feature,contrast,estimate,SE,df,t.ratio,p.value
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,10-1,0.09155637157704785,NA,NA,NA,0.4382778870904541
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,2-1,-0.058891676843064573,NA,NA,NA,0.8996238735289777
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,3-1,-0.05096216142456253,NA,NA,NA,0.8657804286746266
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,5-1,-0.0267173273097367,NA,NA,NA,0.9974063671162299
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,6-1,0.06889685624267686,NA,NA,NA,0.983547674045721
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,7-1,-0.009309571042462605,NA,NA,NA,0.9999996571107419
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,8-1,-0.058891676843064636,NA,NA,NA,0.8996238735289771
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,9-1,0.005737005601430471,NA,NA,NA,0.9999999810115288
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,2-10,-0.15044804842011242,NA,NA,NA,0.06326975072353491
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,3-10,-0.14251853300161038,NA,NA,NA,0.0279058172418456
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,5-10,-0.11827369888678455,NA,NA,NA,0.12930187214167643
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,6-10,-0.022659515334370994,NA,NA,NA,0.9999970018980596
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,7-10,-0.10086594261951046,NA,NA,NA,0.41806690659674417
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,8-10,-0.15044804842011247,NA,NA,NA,0.06326975072353447
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,9-10,-0.08581936597561737,NA,NA,NA,0.5293508606021228
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,3-2,0.007929515418502042,NA,NA,NA,0.9999999503659138
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,5-2,0.03217434953332787,NA,NA,NA,0.997696452188774
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,6-2,0.12778853308574142,NA,NA,NA,0.6989108093191672
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,7-2,0.04958210580060197,NA,NA,NA,0.9764027462268745
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,8-2,-6.245004513516506e-17,NA,NA,NA,1
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,9-2,0.06462868244449504,NA,NA,NA,0.8415532474200894
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,5-3,0.02424483411482583,NA,NA,NA,0.9986982622476599
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,6-3,0.11985901766723939,NA,NA,NA,0.7020552082062121
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,7-3,0.041652590382099924,NA,NA,NA,0.9775688916106197
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,8-3,-0.007929515418502104,NA,NA,NA,0.9999999503659138
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,9-3,0.056699167025993,NA,NA,NA,0.7815089831914144
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,6-5,0.09561418355241355,NA,NA,NA,0.8913665024968946
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,7-5,0.017407756267274095,NA,NA,NA,0.9999546674052889
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,8-5,-0.032174349533327935,NA,NA,NA,0.9976964521887739
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,9-5,0.03245433291116717,NA,NA,NA,0.9902497807074755
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,7-6,-0.07820642728513946,NA,NA,NA,0.9707444656785764
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,8-6,-0.12778853308574148,NA,NA,NA,0.6989108093191667
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,9-6,-0.06315985064124638,NA,NA,NA,0.990629546212153
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,8-7,-0.04958210580060203,NA,NA,NA,0.9764027462268744
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,9-7,0.015046576643893077,NA,NA,NA,0.9999852512215985
01.00-resazurin-20260415-36C,corrected_fc,depression_abs,9-8,0.0646286824444951,NA,NA,NA,0.8415532474200887
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,10-1,-0.2170388748481118,NA,NA,NA,0.25827820647339206
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,2-1,0.10571271181473008,NA,NA,NA,0.954519207132565
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,3-1,0.05331165285562656,NA,NA,NA,0.9980294145587931
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,5-1,0.054883451453205945,NA,NA,NA,0.9975808807424289
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,6-1,0.0702253242358053,NA,NA,NA,0.9998933422162659
