individual_id,familly_id.group,area_mm2.measurement,imageJ_id,pink.measurement
184,1,892.711,10,0
199,1,752.164,5,0
207,1,866.707,6,0
206,1,966.032,7,0
205,1,671.191,3,0
204,1,581.354,8,0
203,1,703.359,2,0
202,1,1116.292,1,0
201,1,505.506,4,0
198,1,273.234,9,0
192,1,912.067,12,0
191,1,910.422,16,0
194,1,678.74,11,0
193,1,514.162,19,0
196,1,725.467,13,0
195,1,922.628,14,0
197,1,623.857,15,0
208,1,755.679,17,0
209,1,746.953,18,0
210,1,729.086,20,0
190,10,1169.234,2,0
177,10,1010.819,3,0
183,10,1031.688,1,0
189,10,972.327,4,0
180,10,706.11,5,0
187,10,1103.295,6,0
176,10,759.778,8,0
185,10,766.103,7,0
181,10,381.631,9,1
120,3,1281.176,2,2
103,3,962.545,9,3
37,3,996.196,5,1
58,3,853.94,4,0
23,3,723.896,6,0
65,3,1183.718,3,0
16,3,925.867,1,0
109,3,670.318,8,1
114,3,577.74,7,0
66,3,529.98,10,0
68,3,977.463,11,0
151,3,944.28,15,0
52,3,804.625,12,1
150,3,621.45,14,2
117,3,580.83,19,0
49,3,466.471,18,1
182,3,831.882,13,0
186,3,593.234,16,0
178,3,514.806,17,0
179,3,245.639,20,0
38,2,726.02,3,1
89,2,1047.736,1,2
74,2,708.578,6,0
116,2,474.522,8,0
39,2,650.478,4,0
144,2,833.131,2,1
81,2,856.059,7,1
107,2,1076.339,5,0
45,5,574.389,8,2
46,5,992.058,3,1
76,5,739.701,1,1
47,5,535.404,6,2
119,5,419.864,7,3
36,5,786.832,2,0
53,5,674.788,4,2
28,5,742.453,9,2
172,5,474.733,5,1
160,5,558.095,20,2
55,5,726.16,16,1
102,5,550.507,19,1
110,5,615.754,18,0
175,5,807.849,11,0
73,5,460.188,12,0
77,5,813.392,15,1
174,5,581.047,10,1
131,5,897.238,14,0
161,5,567.135,17,1
41,5,985.176,13,0
90,6,896.983,4,0
88,6,651.189,2,0
44,6,1213.738,1,3
1,6,453.816,3,0
133,6,742.084,5,1
13,6,584.008,7,0
51,6,1080.902,sormi-assay-development/heat-survivorship/20260427-33C-USDA-families,0
132,6,991.321,8,1
59,6,738.108,9,0
70,7,604.17,2,3
105,7,1151.021,1,0
48,7,672.14,3,0
26,7,934.032,5,2
147,7,687.707,8,0
15,7,812.587,7,1
35,7,1221.953,6,0
115,7,1520.651,4,0
29,7,423.073,13,0
87,7,475.288,14,2
57,7,1154.361,16,1
130,7,423.231,17,0
60,7,680.018,10,0
84,7,406.687,15,0
113,7,740.111,12,0
118,7,908.256,11,1
79,7,929.4,9,3
148,8,1018.793,1,0
149,8,545.782,3,0
153,8,611.145,6,1
142,8,1030.418,4,0
25,8,1103.121,2,2
24,8,682.888,8,3
18,8,1296.468,5,2
72,8,480.453,7,1
145,8,1089.54,9,2
141,8,862.654,10,0
56,9,688.203,1,2
19,9,613.351,4,0
104,9,703.217,5,2
112,9,835.207,3,0
22,9,1095.488,2,2
106,9,812.389,6,3
101,9,415.348,9,3
14,9,478.439,10,0
108,9,855.547,7,0
146,9,719.157,8,2
20,9,837.648,11,3
143,9,643.713,12,0
173,9,991.901,15,0
43,9,780.658,14,1
152,9,1556.287,13,0
